stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,6,0,0,1,2,0,0,2,0,148,20,0,0,0,0
 24-34,0,0.82,0,2.46,22.98,0,0,2.46,0,0,1.64,0,0.82,0,0,9.03,0.82,0,11.49,32.83,0,0.82,0.82,0,0,0,0,0,95.22,21.34,11.49,0,0,0
 36-46,0,1.61,0,1.61,37.87,0,0,0,0,0,4.03,0,0,2.42,0,6.45,0,0,25.78,30.62,0,0,0.81,0,0,0.81,0,0,59.62,4.03,10.47,0,0,0
 48-58,0,1.15,0,10.33,37.87,0,0.57,2.3,0,0,6.89,0,0,2.3,0,17.79,0,0.57,50.49,34.43,1.15,0,4.02,0.57,0,0,0,0.57,22.95,0,11.48,0,1.15,0
 60-70,0,3.93,0,18.65,41.22,0,3.93,2.94,0,0.98,7.85,0,0,0.98,0,27.48,0,8.83,39.26,41.22,0,0.98,0.98,0,0.98,0,0.98,0.98,17.67,0,13.74,0,0,6.87
 72-82,0,4.91,0,21.6,40.25,0,0.98,3.93,0,0,5.89,0.98,0,2.94,0,70.68,0,7.85,48.1,26.5,0,0,0.98,0,1.96,0,0,0,4.91,0,2.94,2.94,0,35.34
 84-94,0,11.68,0,18.05,60.54,1.06,0,4.25,0,0,5.31,1.06,0,3.19,0,35.05,0,10.62,33.99,12.74,0,0,3.19,0,0,0,0,0,5.31,0,2.12,4.25,0,55.23
 96-106,0,8.74,1.09,9.84,89.61,1.09,2.19,3.28,0,0,13.11,1.09,0,0,0,46.99,2.19,6.56,19.67,13.11,0,0,3.28,0,1.09,3.28,0,0,4.37,0,0,1.09,0,62.29
108-118,0,2.3,0,6.13,58.21,0,1.53,6.13,0.77,0,4.6,1.53,0,1.53,0.77,47.49,0,13.02,19.15,15.32,0,0,2.3,0,3.83,0,0,0,2.3,0,0,0,1.53,30.64
120,0,11.76,0,11.76,52.91,1.96,0,21.56,0,0,1.96,5.88,0,0,0,64.67,0,21.56,29.4,21.56,0,0,0,0,9.8,0,0,0,3.92,0,1.96,5.88,1.96,47.03
