stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,0,0,0,0,5,1,0,0,0,0,0,0,0,4,1,0,0,0,0,3,3,1,12,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0.82,0,0.82,0,0,0,1.64,0,0.82,9.03,0.82,0,0.82,0,2.46,0,1.64,0,8.21,0,1.64,0
 36-46,0,0,0,0.81,0,0,1.61,0,0,1.61,0,0,0,0.81,0,1.61,0,0,2.42,0,0,0,0,0,0,0.81,0,4.03,0,0.81,0
 48-58,0,0,0,0,0,0,2.3,0,0,4.59,0,0,0.57,0,0,5.74,0,1.15,6.31,0,1.72,0,0,1.72,0,1.15,0,1.15,0,0.57,0.57
 60-70,0,0,0,0,0,0,2.94,0,0,1.96,0,0,0,0,0,3.93,0,0,3.93,0,0,0,0,0.98,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,5.89,0,0,7.85,0,0,0,0,0,7.85,0,0,2.94,0,1.96,1.96,0,0.98,0,0.98,0,2.94,0,0,0
 84-94,0,0,0,1.06,0,0,2.12,0,1.06,2.12,0,0,0,1.06,0,1.06,0,0,2.12,0,0,0,0,7.43,0,1.06,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,2.19,0,0,3.28,1.09,0,0,0,0,5.46,0,0,3.28,0,1.09,1.09,0,3.28,0,0,0,0,0,1.09,0
108-118,0,0.77,0,0.77,0,0,1.53,1.53,0,6.13,2.3,0,0.77,0,0.77,3.83,0,0.77,1.53,0,0.77,0.77,0,0.77,0,1.53,0,2.3,0.77,0,1.53
120,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,1.96,0,1.96,1.96,1.96,3.92,0,0,0,0,0,0,0,0,0,0,0,0
