stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
 14-21,1,1,13,0,0,3,0,0,0,1,0,0,0,0,0,0,1,3,0,4,37,6,2,0,0,3,1,1,4,30,0,0,0
 24-34,1.64,0.82,4.93,0,0,13.95,1.64,0,0,0,0,0,0,4.93,0,2.46,0.82,6.57,0,2.46,105.89,13.13,5.75,1.64,2.46,0,1.64,0,3.28,73.06,0,0,0.82
 36-46,0,0,0.81,0,0,57.2,0,0,1.61,0,0,0,0,11.28,1.61,1.61,0.81,4.83,0,1.61,176.44,2.42,2.42,0,0,0,0,0,0,52.37,0,0,0
 48-58,1.15,0,1.72,0,0,105.58,0,0,5.16,0,0.57,0,0,21.8,0,0,0,19.51,0,2.87,165.83,3.44,1.15,0.57,1.72,0,1.15,0,0,42.46,0,0,0
 60-70,0,0,1.96,0,0,151.15,1.96,2.94,19.63,0.98,0,0,0,50.06,0,0,0,23.56,0,1.96,243.42,2.94,0,0,0.98,0,0,0,0,32.39,0,0,0
 72-82,0.98,0,7.85,0.98,0,156.08,1.96,0,17.67,0.98,0,0,0,36.32,0,0,0,21.6,0,0.98,292.54,1.96,0,0.98,1.96,0,0,0,0,27.49,1.96,1.96,0.98
 84-94,1.06,0,8.5,0,1.06,100.89,0,0,9.56,2.12,0,1.06,0,64.78,1.06,0,0,14.87,0,3.19,180.55,2.12,1.06,1.06,3.19,0,2.12,0,0,19.12,0,0,0
 96-106,1.09,0,7.65,1.09,0,71.04,0,0,13.11,1.09,0,2.19,0,48.09,1.09,2.19,0,9.84,1.09,0,180.32,1.09,1.09,1.09,5.46,0,1.09,0,0,15.3,0,1.09,0
108-118,0,0,5.36,0,0,49.02,0.77,0,9.19,2.3,0,0,0.77,91.15,0,0.77,0,6.13,0,0,163.15,3.06,2.3,0.77,0.77,0,0,0,0,9.19,1.53,0,0.77
120,5.88,0,3.92,1.96,0,37.24,1.96,0,13.72,1.96,0,0,1.96,47.03,0,0,0,7.84,1.96,0,195.98,1.96,1.96,0,0,0,0,0,0,11.76,0,0,0
