stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,104.2,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,18,35,4,0,3,0,0,0,1,0,1,2,11,0,0,3,0,0
 24-34,0,0,0.82,4.93,1.64,0,43.51,0,0.82,2.46,4.1,0,0,0,0.82,0,0,0,0,105.89,0.82,0.82,55,201.93,5.75,0,16.42,0,0,1.64,0,0,0,4.1,47.61,0,0,22.98,0,0
 36-46,0,0,0,0,0,0,29.81,0.81,0.81,9.67,11.28,0,0,1.61,0,0,0,0,0,108.77,0,1.61,45.92,150.66,12.09,0,9.67,0,0,0.81,0,0,0,0,49.15,0,0.81,4.03,0,0.81
 48-58,0,0,0,1.15,0,0,29.26,0,0,14.92,18.94,0,0.57,6.89,0.57,0,0,0,1.15,149.19,0,3.44,20.66,103.86,5.16,0,9.75,0,0,1.15,0,0,0,0,12.05,0,1.15,5.16,0,0.57
 60-70,0,0,0,3.93,0,0,36.32,0,1.96,16.69,20.61,0,0,2.94,1.96,0,0.98,0.98,0,168.82,0,4.91,11.78,67.73,3.93,0,8.83,0,0.98,0.98,0,0,0,0,5.89,0,3.93,3.93,0.98,0
 72-82,0,0,0,0.98,0,0,30.43,0,0,17.67,15.71,0,0,3.93,0,0,0,0,0,171.79,0,3.93,9.82,56.94,4.91,0.98,7.85,0,3.93,0,0,0,0,0,0.98,0,2.94,6.87,0.98,0
 84-94,0,0,0,3.19,0,0,24.43,0,0,16.99,10.62,1.06,0,5.31,2.12,1.06,1.06,1.06,1.06,122.13,0,4.25,7.43,54.16,6.37,0,5.31,0,2.12,1.06,0,1.06,0,0,2.12,1.06,4.25,4.25,7.43,0
 96-106,0,0,0,1.09,0,0,20.76,0,2.19,3.28,9.84,0,0,5.46,2.19,0,1.09,1.09,0,125.68,0,4.37,6.56,44.81,0,0,8.74,0,2.19,1.09,0,0,0,0,1.09,0,0,4.37,3.28,1.09
108-118,0,0,0,2.3,0.77,0.77,18.38,0.77,0,12.26,5.36,0,0,0.77,1.53,0,0,0,2.3,81.19,0,6.13,6.13,37.53,2.3,0,12.26,0,3.83,0,0,0,0,0,0,0,0.77,0.77,3.06,0
120,0,0,0,1.96,0,0,21.56,0,0,11.76,17.64,0,0,0,11.76,0,0,0,0,74.47,1.96,3.92,3.92,41.16,3.92,0,11.76,0,3.92,1.96,0,0,0,0,0,0,0,7.84,0,0
