stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,24,225,0,0,2,0,0,0,0,6,0,0,0,2,0,0,0,0,11,1,13,0,0,1,4,0,2,0,0,91,0,0
 24-34,0,0,0,0.82,4.1,17.24,0,5.75,2.46,0,0,0,0,15.6,0,2.46,0,4.93,0,4.1,0,0,12.31,8.21,15.6,0,0,0,4.93,0.82,4.1,0,0,305.36,0,0
 36-46,0,0,0,0,0.81,0.81,0,6.45,0,0.81,0,0,0,13.7,0,0,0,2.42,0,3.22,0,0,33.03,8.06,8.06,0,0.81,0,2.42,0,2.42,0,0,170,0,0
 48-58,0,0,0,0,0.57,0.57,0,9.18,0,0,0.57,1.15,0,20.66,0,0,0,2.87,0,12.62,0.57,0.57,46.48,4.02,8.03,0,0.57,0,1.15,0,1.72,0,0.57,140.58,0,0
 60-70,0,0,0,0,0.98,0,0,71.65,0.98,0,2.94,0.98,0,14.72,0,3.93,1.96,5.89,0,20.61,0.98,0,101.1,2.94,8.83,4.91,0.98,0,2.94,0,0,0,1.96,113.86,0,0
 72-82,0,0,0,0,0.98,1.96,0,217.93,0.98,2.94,13.74,3.93,0,30.43,0,4.91,0,14.72,0,31.41,2.94,1.96,129.58,0,21.6,3.93,0.98,0,0.98,0,1.96,0,3.93,205.17,1.96,0
 84-94,0,0,0,0,4.25,0,0,157.18,0,1.06,9.56,6.37,0,15.93,0,14.87,1.06,11.68,0,45.67,6.37,1.06,62.66,3.19,26.55,8.5,0,0,2.12,0,2.12,0,0,204.97,1.06,0
 96-106,0,0,1.09,0,4.37,1.09,1.09,183.6,2.19,1.09,7.65,10.93,0,44.81,1.09,10.93,3.28,26.23,1.09,30.6,3.28,1.09,60.11,6.56,21.86,12.02,1.09,0,1.09,0,0,2.19,2.19,249.17,4.37,0
108-118,0.77,0,0.77,0,1.53,2.3,0,116.43,0.77,0,6.13,6.89,0,14.55,0,13.02,3.06,13.79,1.53,17.62,2.3,3.06,64.34,13.02,24.51,16.09,0,0,3.06,0,0,0,2.3,164.68,2.3,0
120,1.96,0,0,0,5.88,0,1.96,76.43,1.96,0,7.84,19.6,0,11.76,0,7.84,0,9.8,0,9.8,0,1.96,48.99,17.64,15.68,13.72,0,0,3.92,0,0,0,1.96,139.14,0,1.96
