stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,15.77,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,2,0,0,0,0,0,2,0,1,9,0,0,1,2,0,0,2,0,3,17,0,0,0,0,0
 24-34,0,0,0,3.28,0,0.82,0,0,0,0,0,0,0,0,0,0,0,51.71,0,0,0.82,0,0,0.82,0,0,0,15.6,0,0,0,0,0
 36-46,0,0,0,1.61,0,6.45,0,0,0,0,0,0,0,0,4.83,0,0,149.85,0,0,0.81,0,0,1.61,0,0.81,0,17.72,0,0,0,0,0
 48-58,0,0,0,0.57,0,16.64,0.57,1.72,0,0,0.57,0,0,0,2.3,0,1.15,183.62,0,1.15,0,0,0,1.15,0,0.57,0,30.41,0,0,0.57,0,0.57
 60-70,0,0,0,1.96,0,99.13,0,8.83,0,0,0,0,0,0,7.85,0,0,354.33,0,0,0,0,0,0.98,0,0,0,32.39,0,0,0,0,0
 72-82,0,0,0,0.98,1.96,192.41,0,5.89,0.98,0,0,0.98,0,0,8.83,0.98,1.96,437.82,0,0.98,2.94,0,0,0,0,0.98,0,18.65,0,0,0,0,0
 84-94,0,0,0,3.19,2.12,117.89,0,13.81,0,0,0,0,0,1.06,8.5,0,0,232.59,0,1.06,1.06,0,0,1.06,0,0,0,7.43,0,0,1.06,0,0
 96-106,0,0,0,2.19,1.09,144.26,1.09,7.65,2.19,0,0,0,1.09,1.09,8.74,0,1.09,185.78,0,2.19,1.09,0,2.19,2.19,0,0,0,7.65,0,0,1.09,0,0
108-118,0,0.77,0,1.53,0.77,114.89,0,6.13,0.77,0,0,0.77,0.77,0,6.13,1.53,0.77,222.13,0,1.53,0,0,0,0.77,0,0,0,3.06,0.77,0.77,2.3,2.3,0
120,0,0,0,0,0,137.18,1.96,11.76,0,0,0,1.96,0,0,1.96,0,0,243.01,0,1.96,0,0,0,0,0,0,0,7.84,0,0,1.96,0,0
