stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,3,1,0,1,0,0,2,0,0,0,3,0,1,27,0,0,0,0,0,0,0,7,0,0,5,7,0,0,0,0
 24-34,0,0,0,3.28,0,0,4.1,0,0.82,0.82,0,0,0.82,4.93,0,4.1,55.82,0,0.82,0,0,0,0.82,0,0,0,0,4.1,9.85,0,1.64,0,0
 36-46,0,0.81,0,0.81,0,0,28.2,0,0,4.83,0,0,0,16.92,0.81,2.42,86.21,0,0.81,0,0,0,0,0,0,0.81,0,0,33.03,0,4.83,0,0
 48-58,0,0,0,0,0,0,90.66,1.72,1.72,15.49,0,0,0,23.53,1.15,0.57,88.37,0,1.15,0.57,0,0,0.57,0,0,0,0,0,23.53,0,1.15,0,0
 60-70,0,0,0,0,0,0,115.82,0,0.98,11.78,0,0,0,36.32,0.98,0.98,108.95,0,0,0,0,0,0,0,0,0,0,0,17.67,0.98,1.96,0,0
 72-82,0,0,0,2.94,0,0,67.73,0,0.98,29.45,0,0,0,32.39,0.98,2.94,56.94,0,1.96,0.98,0,0,0,0,0,0,0,0,5.89,0.98,0.98,1.96,0
 84-94,0,0,0,3.19,0,0,52.04,0,4.25,15.93,0,0,0,44.61,2.12,5.31,43.54,0,0,0,0,0,1.06,1.06,0,0,0,0,3.19,3.19,1.06,3.19,0
 96-106,0,1.09,0,1.09,0,0,48.09,0,2.19,8.74,0,0,0,26.23,1.09,0,27.32,0,1.09,0,0,1.09,0,0,0,0,0,0,3.28,0,3.28,0,2.19
108-118,0,0,0,0.77,0.77,0,26.81,0,1.53,9.19,0,0.77,0,26.81,0,2.3,33.7,0,0,0.77,0,0,0,0,0,0.77,0.77,0,0,0,1.53,0,0.77
120,0,0,0,1.96,0,1.96,33.32,0,0,5.88,0,0,1.96,27.44,0,3.92,27.44,1.96,0,0,0,1.96,0,0,0,1.96,0,0,0,1.96,0,0,0
