stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,visceral.smooth.muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,50.35,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,140,0,0,0,0,0,0,1,9,0,0,0,0,1,1,3,0
 24-34,0,0,2.46,0.82,0,0,0,0.82,0.82,50.89,0,0,5.75,0,0,0.82,0.82,18.88,0,0,0,0,2.46,0,2.46,0
 36-46,0,0,0,0,0,1.61,0,0,0,20.95,0,0,7.25,0,0,0,0,8.06,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,2.87,0,0.57,0,44.76,0,0.57,14.35,0.57,1.15,0,0.57,8.03,0,0,0.57,0,0.57,0,2.87,0
 60-70,0,0,0.98,0.98,0,1.96,0,0.98,0,23.56,0,0,18.65,0,0.98,0,0,2.94,0,0,0,0,0,0,1.96,0
 72-82,0,0,0.98,0,0,1.96,0,0,0,14.72,0,0,47.12,0,1.96,0,0,5.89,0.98,0,5.89,0,0.98,0,0.98,0.98
 84-94,0,0,1.06,0,0,2.12,0,1.06,0,23.36,1.06,0,71.16,0,6.37,0,0,4.25,0,1.06,4.25,0,0,0,0,0
 96-106,0,0,1.09,0,1.09,4.37,0,3.28,1.09,2.19,0,0,100.54,0,2.19,0,0,7.65,0,0,2.19,0,0,0,0,0
108-118,0,0,0.77,0,0,1.53,0.77,0,0.77,0.77,0,0.77,82.72,0,2.3,0,0,1.53,0,0,3.06,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,41.16,0,0,0,0,1.96,0,0,1.96,0,1.96,0,0,0
