stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,2,6,0,3,0,0,1,0,0,0,1,0,0,3,0,0,34,0,1,6,1,1,9,0,0,0,0
 24-34,0.82,1.64,4.93,0,3.28,0,0,0,0.82,0,0,1.64,0.82,0,0.82,0,0,28.73,0,0,6.57,0.82,0,9.85,0,0,0,0
 36-46,0,0,1.61,0,7.25,0,0,5.64,0.81,0,0,0.81,0,0,0,0,0,50.76,0,0,8.06,0.81,0,16.11,0,0,0,0
 48-58,0,0,4.02,0,11.48,0.57,0,12.62,1.15,0,0,0,0.57,0.57,2.3,0,0.57,60.82,0.57,0,4.59,0.57,0,18.36,0,0,0,0
 60-70,0,0,4.91,0,22.58,0,0,9.82,0.98,0,0,0,0,0,2.94,0.98,0,68.71,0,2.94,6.87,0.98,0,11.78,0.98,0.98,0,0
 72-82,1.96,0,2.94,0.98,25.52,2.94,0,11.78,0,0.98,0.98,0.98,0.98,0,9.82,0.98,0.98,83.44,0.98,0,6.87,0,0,7.85,1.96,0,0,0.98
 84-94,0,0,4.25,0,5.31,1.06,0,5.31,1.06,0,0,1.06,2.12,0,2.12,0,1.06,50.98,1.06,0,8.5,0,0,4.25,2.12,0,0,0
 96-106,0,0,8.74,0,8.74,1.09,0,10.93,1.09,0,0,0,0,0,6.56,0,0,43.71,1.09,0,10.93,3.28,0,3.28,1.09,0,0,0
108-118,0,0,5.36,0,9.96,0.77,0.77,6.13,2.3,0,0.77,0,0.77,0,4.6,0,0.77,42.89,0,0,7.66,0,0,1.53,0.77,0,0.77,0
120,0,0,5.88,0,1.96,0,0,7.84,1.96,0,1.96,0,1.96,0,7.84,1.96,0,52.91,0,1.96,1.96,0,0,1.96,1.96,0,0,0
