stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,1.64,0,0,0,0,0,0
 36-46,5.64,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0.81,0,0
 48-58,1.72,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0.57,0,1.15,0,0,0,0,0,0
 60-70,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,1.96,0,0,0,0,1.96,0,0,0.98,0,23.56,0,0,0,0,3.93,0,0,0,4.91,0,0.98,0,0,0,0,0,0
 84-94,2.12,3.19,2.12,0,0,1.06,0,0,0,0,46.73,0,2.12,0,0,6.37,0,1.06,1.06,4.25,0,0,1.06,0,0,0,0,1.06
 96-106,5.46,6.56,1.09,4.37,0,5.46,1.09,0,0,0,212.01,0,1.09,0,0,18.58,0,4.37,0,21.86,1.09,0,3.28,0,0,0,1.09,0
108-118,1.53,6.13,0.77,0.77,0.77,3.83,0,0,0,1.53,337.02,0.77,0,0,0.77,68.94,0,5.36,0.77,17.62,0,0.77,0.77,0.77,0.77,0,0,0
120,3.92,1.96,0,3.92,0,0,0,1.96,0,0,195.98,0,1.96,1.96,0,39.2,1.96,1.96,1.96,9.8,0,0,0,0,0,0,0,0
