stage,blastomeres,endocrine_pancreas,epidermis,eye,glial,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10
 24-34,0,0,0.82,0.82,0,0,0,0,0.82,8.21,0.82,0.82,4.93,0,0,0.82,1.64,0.82,30.37
 36-46,0,0,0,0.81,0,0,0.81,0,0,12.89,0,0,8.86,0,0,0.81,2.42,0,27.39
 48-58,0,0,0,0,0.57,0,0.57,0,0,18.94,0.57,0,16.07,0,0,0,1.72,0.57,28.69
 60-70,0,0,0,2.94,0,0,0.98,0,0,9.82,0.98,0.98,31.41,0,0,0,0,0,17.67
 72-82,0,0,0,3.93,1.96,0,0.98,0,0.98,15.71,5.89,0,70.68,0,0,0,0.98,0,22.58
 84-94,0,0,2.12,11.68,1.06,0,3.19,0,0,44.61,1.06,1.06,46.73,0,0,1.06,0,0,20.18
 96-106,0,0,0,4.37,1.09,2.19,10.93,1.09,0,32.79,2.19,0,62.29,1.09,0,0,1.09,0,27.32
108-118,0,1.53,0.77,3.06,0.77,0,23.74,0,0,42.13,3.06,0,77.36,0.77,0,0,0,0,36.77
120,0,0,1.96,5.88,3.92,0,9.8,0,0,19.6,3.92,1.96,80.35,0,0,0,0,0,17.64
