stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.81,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,6.29,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,40,5,0,4,0,0,0,2,4,0,1,1,6,0,0,0,0,3,0,0,0,26,18,1,4,2,0,8,3,7,1,19,0,0,1,0,0
 24-34,0,0,0.82,0,19.7,3.28,0,4.93,0,4.93,0,0.82,0,0,2.46,1.64,8.21,0,2.46,0.82,0.82,2.46,0,0,1.64,66.49,6.57,4.1,15.6,0,0.82,11.49,0,4.93,0,9.85,0,0,4.1,0,0
 36-46,0,0,0,0,8.86,0.81,0,4.83,0,1.61,1.61,14.5,0.81,0,1.61,2.42,4.03,0,1.61,0,0,2.42,1.61,0.81,1.61,89.43,2.42,7.25,9.67,0,0,17.72,0,2.42,0,17.72,0,0,6.45,0,0
 48-58,0,0,0,0,7.46,5.16,0,12.05,0,2.87,1.15,18.36,1.72,0.57,0,2.3,2.3,0,2.3,0.57,0.57,4.59,1.15,1.15,0,87.79,1.72,4.59,6.31,0,0,13.2,0,0.57,0,13.77,0,0,9.18,0,0.57
 60-70,0,0,0,0,6.87,4.91,0,22.58,0,1.96,0.98,23.56,1.96,1.96,0,6.87,0.98,0,0,0,0.98,11.78,0.98,1.96,0,93.24,2.94,2.94,7.85,0,0,24.54,0,0.98,0,12.76,1.96,0,4.91,0,0
 72-82,0,0,0,0,14.72,26.5,0,45.16,0.98,0.98,3.93,26.5,0.98,0.98,1.96,9.82,2.94,0,4.91,0,0,23.56,0,0.98,0,154.12,0.98,3.93,23.56,0,0,9.82,0,2.94,0,5.89,0.98,0.98,12.76,0.98,0
 84-94,1.06,0,0,0,8.5,10.62,0,32.92,0,2.12,1.06,8.5,8.5,1.06,0,9.56,6.37,0,2.12,1.06,1.06,10.62,1.06,1.06,3.19,103.02,0,7.43,20.18,0,0,56.29,0,5.31,0,5.31,2.12,0,11.68,1.06,0
 96-106,0,0,2.19,0,18.58,21.86,0,37.16,0,4.37,0,12.02,7.65,0,3.28,15.3,6.56,1.09,3.28,2.19,2.19,17.49,4.37,1.09,1.09,92.89,2.19,6.56,18.58,0,1.09,46.99,0,4.37,0,5.46,6.56,0,9.84,4.37,1.09
108-118,0,0,0.77,0.77,27.57,10.72,1.53,27.57,0,3.83,0.77,11.49,10.72,0,2.3,16.85,4.6,5.36,7.66,3.06,0.77,19.15,1.53,0.77,5.36,97.28,2.3,4.6,22.98,0,1.53,43.66,0,6.89,0,3.83,7.66,0.77,5.36,0,0
120,0,0,1.96,1.96,21.56,21.56,0,29.4,0,7.84,3.92,9.8,11.76,0,0,17.64,13.72,3.92,1.96,3.92,0,15.68,0,1.96,1.96,90.15,0,9.8,21.56,0,0,39.2,0,9.8,0,1.96,0,1.96,7.84,0,0
