stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,174.02,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,5.64,0,0,0,0,0,0.81,0,0.81,0,0,0,0
 48-58,0,0,0,1.15,0,709.22,0,0,0,4.02,0,0.57,0,0,0,0,0,6.31,0,2.3,34.43,0,0,0,0,0.57,0.57,0,8.03,0,0.57,0,1.15
 60-70,0,0,0,0,0,687.07,0.98,0,0.98,0.98,0,0,0.98,0,0,0,0.98,5.89,0.98,0.98,21.59,0,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,4.91,0.98,454.51,0.98,0,0.98,1.96,0.98,0,0.98,0,0,0,0,4.91,0,0,8.83,0.98,0,0,0,0,0,0,0,0,1.96,0,0.98
 84-94,0,0,0,3.19,0,443.93,0,1.06,1.06,5.31,0,0,0,1.06,0,0,0,9.56,3.19,1.06,12.74,0,0,0,0,0,1.06,1.06,2.12,1.06,0,1.06,0
 96-106,0,0,0,3.28,1.09,278.68,3.28,0,0,3.28,0,0,1.09,0,0,0,1.09,7.65,1.09,0,15.3,0,1.09,0,0,1.09,1.09,0,0,0,0,0,0
108-118,0,0,0,2.3,0,224.43,0,0,0,2.3,0,0,0,0,0,0.77,0.77,0.77,0,0,14.55,0,0,0,0,0,3.06,0,0,0,0,0,0
120,0,0,0,3.92,1.96,237.13,0,0,1.96,1.96,0,0,0,0,1.96,0,1.96,5.88,0,3.92,15.68,0,0,1.96,0,1.96,0,0,0,0,0,0,0
