stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,12.59,0,0,0,0
 14-21,0,6,48,2,0,0,0,0,0,0,2,4,0,14,0,1,0,0,1,2,2,0,0
 24-34,0,0.82,3.28,0,0,0,0.82,0.82,0,0.82,0.82,1.64,0,9.03,0.82,0,0,0,0,0,1.64,0,0
 36-46,0,0,1.61,0,0,0.81,0,0,0,0,0,1.61,0.81,4.83,0,0.81,0,0,0,0,0.81,0,0.81
 48-58,0,0,0,0.57,0,1.72,1.15,0,0,0,0,0.57,0,3.44,0,0.57,0,0,0,1.15,1.15,0,0.57
 60-70,0,0,0,10.8,0,0,0,0,0,0,0,8.83,0.98,3.93,0.98,0.98,0,0,0,0.98,0,0,0
 72-82,0,0.98,0,43.19,0,1.96,0,0,0.98,0,0,3.93,0,9.82,0,0.98,0,0,0,0,0.98,0,0
 84-94,0,1.06,0,25.49,0,0,1.06,1.06,1.06,0,0,4.25,0,3.19,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,15.3,1.09,0,0,0,0,0,0,3.28,0,4.37,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0.77,29.87,0,0,0,0,0,0,0,2.3,0,6.13,0,0.77,0,0.77,0,0,0,0.77,0
120,0,0,0,23.52,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0
