stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,19,1,0,1,0,2,0,0,0,0,0,0,2,0,5,0,2,15,1,0,0,1,0,2,0,0,1,6,0,0,0,0
 24-34,1.64,12.31,0,5.75,2.46,0,2.46,0.82,0,0,0,0,0,0,0,8.21,0,4.1,76.34,0.82,0,0.82,0,0,0,0.82,0,0,13.95,0,1.64,0,0.82
 36-46,0,7.25,0,6.45,0,1.61,4.03,0,0.81,0,0,0.81,0,0,0.81,12.89,0.81,2.42,41.89,0,0,0.81,0,0.81,0,0,0,0,12.09,0,0,0,0.81
 48-58,0,5.74,0,6.89,1.15,1.15,3.44,0,0,0,0,0,0,0,0,9.75,0,1.72,29.26,0,0,1.15,0,0,0,0,0.57,0,6.89,0,0,0,0.57
 60-70,0,2.94,0,4.91,3.93,0,4.91,0,0,0,0.98,0,0,1.96,0,14.72,1.96,0,10.8,0.98,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0.98
 72-82,0,9.82,0,1.96,1.96,0,3.93,0,0,0,0,0,0,0,0,7.85,2.94,0.98,5.89,0,0,0,0,0,0,0,0,0,2.94,0.98,0,0,0
 84-94,0,4.25,0,5.31,4.25,1.06,2.12,0,0,0,0,0,0,0,0,6.37,1.06,1.06,1.06,0,0,0,0,0,0,0,0,0,0,1.06,0,1.06,0
 96-106,0,4.37,0,5.46,1.09,0,3.28,2.19,0,0,0,0,1.09,0,0,12.02,0,2.19,3.28,1.09,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,19.15,0,1.53,3.83,0,3.06,0,0,0.77,0,0.77,0.77,0,0,13.79,0,3.83,4.6,0,0.77,0,0,0,0,0,0,0,0.77,0,1.53,0,0
120,0,47.03,0,5.88,5.88,0,7.84,1.96,0,0,0,1.96,1.96,0,0,21.56,0,0,9.8,0,3.92,0,0,0,0,0,0,0,0,1.96,1.96,0,0
