stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,276.74,4282.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,134.85,1795.98,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,5.26,0,15.77,0,0,0,21.03,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,276.01,13.14,0,0,57.83,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,25.18,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,267.49,18.88,0,0,78.67,0,0,6.29,0,9.44,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,5,15,7,0,6,0,0,0,13,1,0,0,0,0,0,2,22,0,0,13,66,11,0,0,1,0,1,2,7,2,1,1,60,0,0,1,0,0
 24-34,0,0,0.82,2.46,12.31,0,0,11.49,0,0.82,0,5.75,0,0,0.82,0,0,0.82,3.28,74.7,0,0,22.16,38.58,6.57,0.82,9.85,0,0,0.82,0,0,11.49,0.82,1.64,36.94,0,0,8.21,0,0
 36-46,0,0,0,0,7.25,0,0,12.89,0,0,2.42,1.61,0,0,1.61,0.81,0,0,1.61,87.01,0,0.81,19.34,31.42,24.17,0,13.7,0,0,0.81,0.81,0,5.64,0,0,16.11,0,0.81,2.42,0,0
 48-58,0,0,0,0,2.87,0,0,21.23,0.57,0,3.44,2.87,0,1.72,2.87,0.57,0.57,0.57,2.3,162.39,0.57,2.3,14.92,16.64,14.92,0.57,17.21,0,0.57,0,0,0,0.57,0,0,8.03,0,0.57,3.44,0,0
 60-70,0,0,0,0,2.94,0,0,20.61,0,0,3.93,14.72,0.98,0,1.96,0,0,2.94,10.8,217.9,0,3.93,20.61,18.65,19.63,0,16.69,0,0,1.96,0,0,3.93,0,0,9.82,0,4.91,3.93,0,0
 72-82,0,0,0,0.98,4.91,0,0,38.28,0,0,5.89,14.72,2.94,0,4.91,0,0.98,0.98,47.12,342.6,0.98,3.93,20.61,19.63,23.56,0.98,26.5,0,2.94,1.96,0,0,9.82,0,0,6.87,0,4.91,10.8,4.91,0
 84-94,0,0,0,0,7.43,0,0,42.48,1.06,0,5.31,4.25,2.12,0,4.25,1.06,4.25,0,191.17,208.16,0,5.31,13.81,18.05,32.92,1.06,32.92,0,1.06,2.12,1.06,0,10.62,0,0,4.25,0,5.31,12.74,6.37,2.12
 96-106,0,0,1.09,0,6.56,2.19,1.09,32.79,1.09,0,4.37,17.49,3.28,0,1.09,3.28,2.19,0,274.3,182.51,1.09,0,13.11,28.41,36.06,3.28,43.71,0,1.09,5.46,0,0,8.74,1.09,0,2.19,0,4.37,13.11,3.28,0
108-118,0,0,0,0,5.36,0.77,0.77,30.64,0,0,4.6,9.19,6.89,0,2.3,1.53,3.83,0.77,500.94,153.96,1.53,4.6,3.83,29.87,42.13,0,36.77,0,0.77,1.53,0,0,10.72,0,0,2.3,0.77,4.6,11.49,1.53,1.53
120,1.96,0,0,0,3.92,1.96,0,17.64,0,1.96,1.96,3.92,1.96,0,1.96,1.96,0,0,219.5,107.79,0,1.96,1.96,17.64,70.55,0,35.28,0,0,1.96,0,0,5.88,0,0,1.96,1.96,1.96,11.76,3.92,1.96
