stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,60,0,3,0,0,0,1,0,3,1,3,0,0,0,0,0
 24-34,0,0,0,0,69.77,0,0,6.57,0,10.67,0,26.27,0,0,0,0.82,0.82,0.82,0,0,0.82,0,0,0,792.13,0.82,0.82,0.82,1.64,0,0,0,0,1.64,87.01,0,0,0,0,0
 36-46,0,0,0.81,0,55.59,0,0,58.01,0,3.22,0,191.75,0,0,0,0.81,0,3.22,0,0,4.83,0,0,2.42,1453.43,0,0,0,2.42,0.81,0,0,0,0,274.73,0,0,0,0,0
 48-58,0,0,0,0,48.2,0,0,237.56,0.57,6.31,0.57,331.66,0,0.57,0,0,0,0,0,0.57,10.33,0.57,0,1.72,903.74,0,0,2.3,3.44,0,0,0,0,0,274.28,0,0,0.57,0,0.57
 60-70,0,0,0,0,49.08,0,0,515.3,0,5.89,1.96,383.78,0,0,0,0,0,1.96,0,0.98,10.8,0,0,0.98,570.26,0.98,0,4.91,2.94,0,0,1.96,0,0,122.69,0.98,0.98,0.98,0.98,0.98
 72-82,0,0,0,0,60.86,0.98,0,311.19,0.98,9.82,0.98,349.47,0,0.98,0,0,0,6.87,0.98,0,23.56,1.96,3.93,0,425.06,0,0,7.85,3.93,0,0,0,0.98,0,35.34,4.91,1.96,0.98,4.91,0
 84-94,0,0,0,0,109.39,1.06,0,214.53,0,14.87,2.12,216.66,0,1.06,0,1.06,2.12,3.19,0,0,19.12,1.06,2.12,0,283.56,1.06,0,11.68,4.25,0,0,0,0,0,39.3,20.18,3.19,0,2.12,0
 96-106,0,0,0,0,79.78,2.19,0,142.07,1.09,15.3,0,207.64,1.09,1.09,1.09,1.09,1.09,7.65,1.09,0,19.67,0,1.09,0,311.46,0,1.09,14.21,6.56,0,0,0,0,0,7.65,32.79,2.19,3.28,7.65,0
108-118,0,0,0,0,91.15,1.53,0,111.83,0,19.92,0,187.66,0.77,0,0.77,0.77,0,4.6,0,0,26.81,0.77,0,0.77,288.77,0,0.77,14.55,3.06,0,0,0.77,0,0,5.36,46.72,0,0.77,4.6,0
120,0,0,0,0,82.31,1.96,1.96,139.14,0,15.68,1.96,211.66,1.96,0,5.88,3.92,0,5.88,1.96,0,7.84,1.96,1.96,5.88,252.81,0,3.92,5.88,3.92,0,0,0,0,0,5.88,21.56,0,0,1.96,0
