stage,blastomeres,epidermis,eye,fin_epithelia,ionocyte,mucous,neural,paraxial_mesoderm,periderm,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,6.13,0
  7-9,0,0,2.63,0,0,0,5.26,5.26,2.63,0
 10-12,0,0,0,0,0,0,6.29,15.73,6.29,0
 14-21,0,0,0,0,0,0,0,0,7,0
 24-34,0,0,0.82,0,0,0,0.82,0,28.73,0
 36-46,0,0,0.81,0,0,0,0,0,29,0.81
 48-58,0,0,0,0,0,0,0,0,24.67,0
 60-70,0,0,0.98,0,0,0.98,0,0,15.7,0
 72-82,0,1.96,0,0,0,0,0,0,15.71,0
 84-94,0,1.06,0,0,1.06,0,0,0,47.79,0
 96-106,0,1.09,0,1.09,0,0,0,0,43.71,0
108-118,0,4.6,0,0,1.53,0,0,0,21.45,0
120,0,5.88,0,0,0,3.92,0,0,37.24,0
