stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,2,1,2,0,1,0,2,0,0,0,0,0,0,0,2,0,0,26,3,1,0,1,0,2,0,0,5,4,0,0,0
 24-34,0,4.93,0,0,9.03,0,0,0,0.82,0,0,0.82,0,0,8.21,0,4.93,89.47,0.82,0,2.46,0,1.64,0,0.82,0.82,2.46,24.63,0,1.64,0
 36-46,0,0.81,0,0,20.95,0,0.81,0,0,0,0,0,0.81,0,12.09,0,4.03,59.62,0,0,0,0,0.81,0.81,0,0,0,8.86,0,1.61,0
 48-58,0,1.15,0,0,17.21,0,0.57,0,0,0,0,0,0,0.57,5.74,0.57,1.15,23.53,0,1.15,0.57,0,0.57,0,0.57,0,0,4.59,0,0.57,0
 60-70,0,0.98,0,0,10.8,0,4.91,0,0,0.98,0.98,0,0,0,7.85,0,0,12.76,0,0.98,0,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,9.82,0,2.94,0,0,0,0,0,0,0,10.8,0,0.98,8.83,0,1.96,0,0,0,0,0,0,0,0.98,0.98,0,0
 84-94,0,1.06,0,0,2.12,0,2.12,0,0,0,1.06,1.06,0,0,3.19,0,0,4.25,1.06,0,0,0,1.06,0,0,0,0,0,1.06,1.06,0
 96-106,0,1.09,0,0,0,1.09,1.09,0,0,0,0,0,0,0,1.09,0,0,6.56,0,0,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,3.83,0,0.77,0,0,0,0.77,0,1.53,0,0,0,0,3.06,0,0,5.36,0,0,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,1.96,0
