stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,5,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,4.93,0.82,0,0,13.13,0,0,5.75,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,2.42,0,0.81,0,6.45,0.81,0,0,12.09,0.81,0.81,6.45,0,0.81,0
 48-58,0,0,0,1.15,0,0,0.57,0.57,0,2.87,0,0,0,0,3.44,0.57,1.72,0,8.03,0,0,0,13.2,1.15,0.57,8.03,0,0.57,0
 60-70,0,0,0,0.98,0,3.93,0,0,0,35.33,0,0,0,0,2.94,0.98,7.85,0,13.74,0,0.98,0,29.45,0.98,2.94,10.8,0,0,0.98
 72-82,0,0.98,0,2.94,0,10.8,0,0.98,0,70.68,0,0,0.98,0,0.98,1.96,4.91,0,27.49,1.96,0,0,37.3,0,0,5.89,0,0,1.96
 84-94,0,2.12,0,4.25,1.06,5.31,0,0,0,30.8,2.12,0,0,0,2.12,2.12,3.19,1.06,10.62,1.06,0,0,80.71,1.06,2.12,5.31,0,0,1.06
 96-106,0,0,0,5.46,0,7.65,0,0,0,39.34,2.19,1.09,5.46,0,0,1.09,1.09,1.09,14.21,1.09,0,0,123.49,0,3.28,4.37,0,1.09,1.09
108-118,0,0,0,7.66,0,4.6,1.53,2.3,0.77,24.51,3.83,0,3.06,0.77,0.77,0.77,0.77,0,21.45,1.53,0.77,0,63.57,0,1.53,1.53,0.77,0.77,0.77
120,0,0,0,3.92,0,3.92,1.96,0,0,31.36,0,0,0,0,0,0,0,0,21.56,0,0,0,72.51,1.96,0,1.96,1.96,0,0
