stage,endocrine.pancreas,epidermis,erythrocytes,eye,gut,immune,mesenchyme,neural,otic,slow.muscle,somites,spinal.cord,taste,vasculature
 14-21,0,1,0,0,0,0,0,0,0,20,1,3,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75
 36-46,0,0,0,0.81,0,9.67,0,1.61,0,0,0,0,0,4.03
 48-58,0,0,0,0,0,8.03,0.57,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,11.78,0,0,0,0,0,0,0,2.94
 72-82,0,0,0,0,0,14.72,0,0,0,0,0,0,1.96,2.94
 84-94,0,0,1.06,0,0,27.61,0,0,0,0,0,0,0,2.12
 96-106,0,0,0,1.09,1.09,50.27,2.19,0,0,0,0,0,1.09,3.28
108-118,0.77,0,0,0,0,36,0.77,0,0.77,0,0,0,0,0
120,0,0,0,0,0,68.59,0,3.92,0,0,0,0,0,0
