stage,endoderm,epidermis,eye,glial,heart,mesenchyme,mucous,neural,olfactory,periderm,pronephros,somites,spinal_cord
 14-21,0,0,0,0,0,0,0,2,0,1,0,1,0
 24-34,0.82,0,0,0,0.82,0,0,4.1,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,4.03,0,0.81,0.81,0,0
 48-58,0,0.57,0.57,0.57,0,0,0,9.18,0,0.57,0,0,2.87
 60-70,0,0,5.89,0,0,0,0,24.54,0,0,0,0,2.94
 72-82,0,0,2.94,0,0,0,0,11.78,0,0.98,0,0,0
 84-94,0,0,3.19,1.06,0,1.06,0,5.31,0,0,0,0,0
 96-106,0,1.09,4.37,0,0,1.09,1.09,8.74,0,0,0,0,1.09
108-118,0,0,1.53,0,0,0.77,0,9.96,0.77,0,0,0,0
120,0,0,1.96,0,0,0,0,5.88,1.96,0,0,0,0
