stage,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,mural.cell,neural,notochord,otic,paraxial.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,10.51,2.63,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0
 14-21,0,0,2,0,0,0,0,3,0,0,0,0,0,2,0
 24-34,0,0,0,0.82,0,1.64,0,3.28,0,0,0,0,0.82,0,0.82
 36-46,0,0,0,1.61,0,0,0,0.81,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0.57,0.57,0.57,1.15,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,1.06,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,1.53,0,1.53,0,0,0,0,0,0,0
