stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,152.47,15.77,0,0,341.73,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,31.47,0,81.82,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,893.74,44.06,0,0,1274.52,0,0,3.15,12.59,72.38,0,3.15,25.18,0,0,0,0,0
 14-21,0,0,36,94,11,0,3,0,0,0,111,21,0,0,0,0,0,1,0,112,0,104,291,27,0,0,90,0,3,0,346,2,3,148,1338,0,0,6,0,0
 24-34,0,0,7.39,7.39,0.82,0,6.57,0,0,0.82,81.26,1.64,0,0,0,0,0,2.46,0.82,58.28,0.82,45.15,303.72,4.1,0,0,0,0,2.46,0,0.82,0.82,0,13.95,820.04,0,0,14.78,0,0
 36-46,0,0,0.81,1.61,0.81,0,11.28,1.61,0,1.61,49.95,1.61,0,1.61,0,0,0.81,1.61,0,71.7,3.22,22.56,331.13,0.81,0,0,0,0,6.45,0,0,0.81,0.81,0,946.66,0,0,2.42,0,1.61
 48-58,0,0,0,4.02,0,0,37.87,0.57,0,2.3,44.76,0,0.57,0.57,1.15,0,0.57,0,0.57,64.27,2.87,12.62,481.42,0.57,0.57,0,0,0,1.15,0,0,0,0.57,0,630.04,0,0,0.57,0.57,0.57
 60-70,0,0,0,2.94,0,0,25.52,0.98,0.98,0,51.04,1.96,0,0,0,0,0,0,2.94,48.09,6.87,11.78,403.41,1.96,0,0.98,0,0,2.94,0,0,0,0,0,287.59,0,3.93,0.98,1.96,0.98
 72-82,0,0,0,2.94,0.98,0,32.39,0.98,1.96,3.93,82.46,0,0,0,0,0,0,0,0,28.47,4.91,13.74,237.56,1.96,0.98,0,0,2.94,0,0,0,0,0,0,136.45,0.98,3.93,1.96,1.96,2.94
 84-94,0,2.12,0,2.12,0,0,25.49,3.19,0,2.12,39.3,2.12,0,0,0,1.06,1.06,2.12,0,31.86,4.25,6.37,140.19,1.06,0,1.06,0,0,3.19,0,0,0,0,0,70.09,0,4.25,2.12,1.06,0
 96-106,0,0,0,2.19,0,1.09,12.02,3.28,0,1.09,42.62,3.28,0,0,3.28,0,0,0,0,25.14,9.84,5.46,74.31,1.09,0,0,0,1.09,0,0,0,0,0,0,24.04,0,4.37,3.28,2.19,1.09
108-118,0,0.77,0,1.53,0,0,4.6,0.77,3.06,0.77,24.51,0.77,0,0.77,0,0,0,0,0,22.21,2.3,5.36,91.92,0.77,0.77,0,0,0.77,0,0,0,0,0,0,29.11,0,1.53,3.06,2.3,0
120,0,0,0,1.96,0,0,7.84,0,0,0,29.4,1.96,0,0,0,0,0,0,0,9.8,3.92,7.84,70.55,0,0,0,0,1.96,1.96,0,0,0,0,0,29.4,0,3.92,0,3.92,0
