stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,171.31,1660.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,802.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,6.13,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,7.89,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,92,13.14,113.03,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,176.23,37.76,226.58,3.15,0,0,9.44,0,3.15,9.44,0,0,0,0
 14-21,0,0,0,0,18,2,2,0,0,0,9,0,1,0,0,0,0,5,0,0,8,11,1,1,5,0,13,1,2,44,75,0,1,0,0
 24-34,0,0,0.82,0.82,8.21,1.64,0,0,0,0,14.78,0,0,0,0.82,0,0,6.57,0,0,22.16,45.15,1.64,0,25.45,0,0,1.64,0.82,0.82,135.44,0,2.46,0,1.64
 36-46,0,0,0,0,0,0,0,0,1.61,0,3.22,0,0,0,2.42,0,0.81,10.47,0.81,0,3.22,48.34,0,0,6.45,0,0,0,0,0,92.65,0,0,0,0.81
 48-58,0,0,0,0,0.57,1.72,4.02,0,1.15,0.57,3.44,0,0,0,0.57,0,0,7.46,0,0,1.15,48.77,1.15,0,2.3,0,0,0,0,0,36.15,0,0,0,0
 60-70,0,0,0,0,4.91,0,1.96,0,2.94,0,1.96,0,0,0,0.98,0,0,2.94,0,0,3.93,25.52,0,0,5.89,0,0,0,0,0,12.76,0,0,0,0
 72-82,0,0,0,0,4.91,2.94,2.94,0.98,0.98,0.98,0.98,0,0.98,0.98,0,0,0,10.8,0,0,1.96,17.67,0,0,4.91,0,0,0,0,0,5.89,0,0,0,0.98
 84-94,0,0,0,0,5.31,6.37,2.12,0,1.06,0,7.43,0,0,0,0,0,0,1.06,0,0,0,5.31,0,0,14.87,0,0,1.06,0,0,1.06,0,1.06,0,1.06
 96-106,0,0,0,0,2.19,7.65,1.09,0,0,0,3.28,0,4.37,0,0,1.09,0,3.28,0,0,0,8.74,0,0,8.74,0,0,0,0,0,1.09,1.09,0,2.19,0
108-118,0,0,0,0,6.13,5.36,0,0,1.53,0,3.06,0,2.3,1.53,0,0,0,6.13,0,0.77,0.77,6.13,0,0,9.19,0,0,0,0,0,0.77,0,0.77,0,0
120,0,0,0,0,9.8,5.88,1.96,0,0,0,3.92,0,1.96,0,0,0,0,3.92,1.96,0,1.96,9.8,0,0,27.44,0,0,0,0,0,0,0,0,0,0
