stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,128.72,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,7.89,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,68.35,2.63,0,42.06,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,6.29,0,3.15,6.29,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,1,0,13,223,2,0,0,0,0,1,0,1,0,0,0,0,12,0,4,0,15,13,0,0,1,0,6,1,1,0,0,6,8,0,85,0,1
 24-34,0,0,0,0,9.03,28.73,2.46,0,0,0.82,0.82,0,0,1.64,0,0.82,0,0,14.78,0.82,25.45,0,64.03,22.98,0,0.82,0,0,0.82,0.82,0.82,0.82,0.82,0.82,5.75,0,322.6,0,0.82
 36-46,0,0,0,0,0,1.61,3.22,0,0,0,0.81,0,0,0,0,0,0,0,11.28,0,70.9,0,46.73,17.72,0,0,0,0,0.81,0.81,0,0,0,0,2.42,0,194.17,0,0
 48-58,0,0,0,0,0.57,2.3,8.03,0,0.57,2.87,0.57,0,0,2.3,0,0,0,0.57,2.87,0,103.86,0.57,30.41,17.21,0,0,0,0,1.15,0,0,0,0,0,2.87,0,136.57,0,0
 60-70,0,0,0,0,0.98,4.91,2.94,0,0,1.96,0,0.98,0,1.96,0,0,0,0.98,1.96,0,167.84,1.96,29.45,17.67,0,0,0,0,0,0,0,0,0,0,2.94,0.98,104.04,1.96,0
 72-82,0,0,0,0,0.98,0.98,17.67,0.98,1.96,5.89,1.96,2.94,0,0.98,0,0,0,0,1.96,0,306.28,0.98,32.39,22.58,0,0,0,0,1.96,0,0,0,0,0,0.98,9.82,179.64,6.87,0.98
 84-94,0,0,0,0,1.06,0,12.74,0,0,1.06,2.12,5.31,0,1.06,0,1.06,2.12,0,1.06,0,169.93,3.19,18.05,11.68,0,0,0,0,0,0,0,0,0,0,0,3.19,155.06,2.12,0
 96-106,0,0,0,0,2.19,3.28,6.56,0,0,1.09,3.28,1.09,0,2.19,1.09,0,0,0,2.19,1.09,153,1.09,14.21,13.11,0,1.09,0,2.19,0,0,0,0,0,0,1.09,4.37,143.16,3.28,0
108-118,0,0,0,0.77,1.53,0.77,8.43,0,0.77,1.53,2.3,2.3,0,1.53,0.77,0,0,0,1.53,0,115.66,1.53,10.72,10.72,0,0,0,0.77,0,0,0,0.77,0,0,0,7.66,138.64,0.77,0
120,0,0,0,0,3.92,1.96,1.96,0,1.96,0,3.92,1.96,1.96,0,1.96,0,0,0,0,0,123.47,0,11.76,11.76,0,0,0,1.96,3.92,0,0,0,0,0,0,9.8,158.74,1.96,0
