stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,632.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.06,0,0,0,18.4,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,18,43,0,10,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,6.57,0,6.57,0,0.82,0,0,0,31.19,0,117.38,51.71,0,15.6,0,1.64,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,2.42,0,0,0,8.86,0,0.81,0.81,0,0.81,58.81,0,116.82,21.75,0,16.92,0,3.22,0,0,0,0
 48-58,0,0,0,0,0,0,0,6.89,0,0,0,0.57,0,6.89,0,1.15,0,9.75,0,0,0,0,0,23.53,0.57,81.48,24.1,0,5.74,0,1.72,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,0,1.96,0,0.98,0,0,0,2.94,0,2.94,0,19.63,0,0.98,0,0,0,16.69,0,84.41,30.43,0,11.78,0,0,0,0,0,0.98
 72-82,0,0,0,0,3.93,0.98,0,4.91,0,0.98,0,6.87,0,4.91,0,4.91,0.98,36.32,0,3.93,0.98,0,0.98,29.45,0,159.03,73.62,0,11.78,0,1.96,3.93,0,0.98,0
 84-94,0,0,0,0,2.12,0,0,3.19,0,1.06,0,0,3.19,5.31,0,12.74,0,58.41,0,2.12,0,1.06,0,9.56,0,167.8,90.27,0,38.23,0,0,13.81,0,0,0
 96-106,0,0,1.09,0,7.65,1.09,1.09,5.46,0,2.19,2.19,5.46,3.28,0,2.19,4.37,1.09,75.41,2.19,6.56,2.19,0,0,19.67,0,268.84,98.36,0,25.14,0,0,29.51,2.19,0,0
108-118,0,0,0,0,5.36,0,0,3.83,0.77,0,0.77,0.77,2.3,0,0,9.96,0,72,0.77,2.3,3.06,0,0.77,22.21,1.53,172.34,87.32,0,18.38,0,0.77,32.17,1.53,0,0
120,0,0,0,0,7.84,0,0,1.96,0,0,0,0,1.96,0,0,7.84,0,33.32,0,1.96,0,0,0,17.64,1.96,88.19,47.03,0,23.52,0,0,11.76,0,0,0
