stage,epidermis,eye,fast.muscle,fin.epithelia,glial,ionocyte,mesenchyme,mucous,neural,olfactory,periderm,taste
 14-21,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,9.03,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,16.92,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,11.48,0
 60-70,0.98,0,0,0.98,0,0,0,0,0,0,25.52,0
 72-82,0.98,0,0,0,0,0,0,0,0,0,15.71,0
 84-94,7.43,0,0,1.06,0,0,0,1.06,0,0,56.29,0
 96-106,8.74,0,0,1.09,0,2.19,1.09,0,0,0,125.68,2.19
108-118,11.49,0,0.77,3.06,0.77,3.06,0,1.53,0,0,104.94,2.3
120,5.88,0,0,1.96,0,0,0,0,0,0,103.87,0
