stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,hatching.gland,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,3.15,0,0,0,6.29,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,9,0,0,0,0,0,1,14,1,0,0,0,0,0,0,7,0
 24-34,0,0,1.64,0,0,0,0,0,2.46,0.82,32.01,0,0.82,0.82,0,0,0,0,32.01,0
 36-46,0,0,0,0,0,0.81,0,0,1.61,1.61,19.34,0,1.61,0,0,0,0,0,12.89,0
 48-58,0,0,0,1.72,0,0,0,0,1.15,0,13.2,0,0,0.57,0,0.57,0,0,5.74,0
 60-70,0,0,0,0.98,0.98,0,0,0,0.98,0,21.59,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,3.93,0,0.98,0,0,3.93,0,21.6,0,0,0.98,0,0,0,0,2.94,0.98
 84-94,0,0,0,1.06,0,0,0,0,0,0,8.5,0,0,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,2.19,0,3.28,0,0,1.09,0,9.84,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0.77,0,0,0,0.77,0.77,0,6.13,0,0,0,0,0,0,0,0,0
120,0,0,0,3.92,0,1.96,0,0,1.96,0,3.92,0,0,0,0,0,0,1.96,0,0
