stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,90,0,6,2,0,0,0,0,2,0,0,73,0,0,0,0,0
 24-34,0,0,6.57,1.64,0.82,0,13.95,0,0,0,1.64,0.82,0,0,0,0.82,0,0,0,0,2.46,0,0,0.82,567.21,0.82,19.7,2.46,0,0,0.82,0,0,0,0.82,190.44,0,0,0,0,0
 36-46,0,0,1.61,3.22,0.81,0,106.35,0,0,0,10.47,0,0,1.61,0,0.81,0,0,0,0,5.64,0,0,1.61,1301.16,0,33.03,0.81,0,0,0.81,0,0,0.81,0,369,0,0,2.42,0,0
 48-58,0,0,1.15,6.89,1.15,0,338.54,0.57,0,0,47.05,0,0,0.57,0,0,0.57,0,0,0,12.62,0,0,2.87,1521.16,0.57,13.77,4.02,0,0,1.15,0,0,0.57,0.57,317.89,0,0,2.3,0,2.3
 60-70,0,0,1.96,4.91,0,0,919.69,0,0,0.98,69.69,0.98,0,0.98,0.98,0,0,0.98,0,0,20.61,0,0,0.98,2241.8,0,20.61,9.82,0,0,3.93,0,0,0,0,306.23,0,0,0.98,0,1.96
 72-82,0,0,14.72,19.63,2.94,0,1251.62,0.98,1.96,0.98,93.26,4.91,0,0,0,0.98,0,1.96,0,0.98,38.28,0,0,2.94,2302,0.98,40.25,21.6,0,0.98,0.98,0,0,0,0,168.85,1.96,1.96,2.94,0.98,1.96
 84-94,0,0,4.25,28.68,2.12,0,916.54,0,0,1.06,66.91,7.43,0,0,1.06,0,5.31,6.37,1.06,0,24.43,1.06,3.19,5.31,1227.72,1.06,35.05,27.61,0,0,5.31,0,0,0,1.06,106.2,1.06,1.06,2.12,2.12,1.06
 96-106,0,0,8.74,25.14,7.65,0,749.69,0,2.19,1.09,74.31,12.02,0,2.19,0,0,0,17.49,4.37,0,42.62,1.09,1.09,1.09,1117.98,0,59.01,37.16,0,1.09,6.56,1.09,0,1.09,0,45.9,4.37,1.09,1.09,1.09,2.19
108-118,0,0,3.06,14.55,5.36,1.53,500.94,1.53,0.77,0.77,49.02,3.06,0,0.77,1.53,1.53,0.77,7.66,0.77,0,19.15,0,1.53,3.83,1158.9,0,35.23,22.21,0,1.53,6.89,0,0,0.77,0,35.23,5.36,0,2.3,1.53,1.53
120,0,0,5.88,13.72,3.92,1.96,460.55,3.92,0,0,58.79,5.88,0,3.92,1.96,1.96,0,5.88,1.96,0,33.32,0,1.96,3.92,1387.53,5.88,27.44,29.4,0,0,11.76,0,0,1.96,0,48.99,1.96,0,5.88,0,0
