stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,iridophores,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,0,6.57,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,2.42,0,2.42,0,0,0,0,0,0,2.42,0.81,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0.57,0.57,0,1.15,0,0,0,0,0,0.57,0.57,1.72,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,1.96,2.94,0,2.94,0,0,0.98,0,6.87,0,0.98,1.96,0,8.83,0,0,0,0,0,0.98,0
 72-82,0,0,3.93,26.5,0.98,0.98,0,0,2.94,0,32.39,0,0,2.94,0,19.63,0,0,0,0,0,0,0
 84-94,0,0,2.12,25.49,0,0,0,0,2.12,0,49.92,0,1.06,2.12,0,22.3,0,0,0,0,0,0,0
 96-106,0,0,1.09,78.68,0,0,1.09,2.19,5.46,0,33.88,0,6.56,7.65,1.09,44.81,0,0,0,0,0,1.09,0
108-118,0,0,0,45.96,0,0.77,0,3.83,4.6,0.77,34.47,0,0.77,11.49,0,52.09,0,0,0,0,0,0,0
120,0,0,3.92,37.24,0,0,1.96,5.88,3.92,0,35.28,0,5.88,19.6,0,25.48,0,0,0,0,1.96,0,1.96
