stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,2279.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0
  5-6,55.17,398.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,10.51,0,0,15.77,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,126,0,0,0,0,0,0,1,1,0,4,1,0,0,0,0
 24-34,0,0,3.28,0,0,11.49,0,0.82,0,0,0,0.82,0,0,0.82,0,4.93,0,0,2.46,607.43,0,1.64,0,0,0,2.46,0,0,1.64,0,13.95,0,1.64,0,0
 36-46,0,0,0,0,0,41.89,0,0.81,8.86,0,0.81,0,0.81,0.81,0.81,0,8.06,0.81,0,1.61,526.1,0,0.81,0.81,0,0,1.61,0,0,0,0,20.14,0,0,0,0
 48-58,0,0,1.72,0,0,77.46,0.57,1.15,6.89,0,0,0,0,0,0,0.57,12.05,0,0,0.57,406.83,0,1.15,0,0,0,0,0,0,0,0,14.92,0,0.57,0,2.87
 60-70,0,0,0,0,0,76.56,0.98,0.98,7.85,0,0,0.98,0,0,0,0,10.8,0,0,0,307.22,0,0,0,0,0.98,2.94,0,0,0,0,4.91,0,0,0,0.98
 72-82,0,0,2.94,0.98,0,79.51,0,3.93,13.74,0.98,0,14.72,0.98,0,0.98,0,27.49,0,0.98,1.96,326.89,0,0.98,0.98,0,0,0.98,0,0,0,0,0.98,0,0.98,0.98,2.94
 84-94,0,0,8.5,1.06,0,73.28,0,1.06,7.43,1.06,0,16.99,1.06,0,0,0,13.81,0,0,0,217.72,0,0,1.06,0,0,2.12,0,0,0,0,0,2.12,0,0,0
 96-106,0,0,9.84,1.09,0,46.99,1.09,2.19,14.21,1.09,0,27.32,0,0,0,0,22.95,0,0,0,170.48,0,0,2.19,0,0,2.19,0,0,0,0,0,0,1.09,0,1.09
108-118,0,0,6.13,3.06,2.3,46.72,0,0,7.66,1.53,0,32.94,0,0,0,0,12.26,0,0,2.3,233.62,0,0.77,0,0,0,0.77,0,0,0,0,0,0,1.53,0.77,0
120,0,0,5.88,3.92,0,64.67,0,1.96,21.56,0,0,39.2,0,0,1.96,0,17.64,0,0,0,205.78,0,1.96,1.96,0,0,0,0,0,0,0,1.96,0,3.92,0,1.96
