stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,gut,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0
 14-21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0.82,0.82,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0.81,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,1.72,0,0,1.15,0,0,0.57
 60-70,0.98,0,0,0,0,0,0,0,0,0,0,2.94,0.98,0,2.94,0.98,0,0
 72-82,0,0.98,0.98,0,0,0.98,0,0,0.98,1.96,0,0.98,0,0,1.96,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,1.09,0,1.09,0,0,0,0,0,0,0,0,0,1.09,0,5.46,0,0,0
108-118,3.06,0,0,0,0,0.77,0.77,0,0,0,0,0,0,0,2.3,0.77,0,0
120,1.96,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,3.92,0,1.96,0
