stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,81.49,5.26,0,0,31.54,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,141.61,0,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,5,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,3,20,0,0,0,0,0,0,1,0,1,12,0,0,0,0
 24-34,0,0,0,0,0.82,0.82,0,4.1,0,0,0,0.82,0,0,0,0,0,0,0,4.93,2.46,45.15,0,0.82,0.82,0,0,0,0,0,0.82,10.67,0,2.46,0,0
 36-46,0,0,0,0,0.81,0,0,7.25,0.81,0,0.81,2.42,0.81,0,0,0,0.81,1.61,0.81,10.47,3.22,58.81,0,0.81,0.81,0,0,0,0,0.81,0,7.25,0,3.22,0,0
 48-58,0,0,0.57,0,0,0,0,16.07,0,0.57,0,8.03,0,0.57,0,0,0,0.57,0,13.2,2.87,53.94,0,0.57,0,0,0,0,0,0,0,16.07,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,0,30.43,0,0,0.98,9.82,0,0,0,0,0,0.98,0,32.39,2.94,110.91,0,0,0.98,0,0,0,0,0,0,10.8,0.98,0.98,0,0
 72-82,0,0,0,0,0,0,0,30.43,0,0,1.96,12.76,0,0,0,0,0,0.98,0,34.36,0.98,64.79,0.98,1.96,1.96,0,0,0.98,0,0,0,5.89,0,0.98,1.96,0.98
 84-94,0,0,0,0,2.12,0,0,19.12,0,0,0,6.37,0,0,0,0,0,0,0,19.12,3.19,29.74,1.06,0,1.06,0,0,1.06,0,0,0,5.31,0,3.19,1.06,0
 96-106,0,0,0,0,0,0,0,12.02,0,0,0,1.09,1.09,0,0,0,2.19,0,0,14.21,4.37,20.76,0,0,2.19,0,0,0,0,0,0,3.28,0,3.28,0,0
108-118,0,0,0,0,0.77,1.53,0.77,4.6,0,0,0,4.6,0,0.77,1.53,0.77,0,0,0,13.02,2.3,41.36,0,0.77,1.53,0,0.77,1.53,0,0,0,0,0,2.3,0,0
120,0,0,0,0,3.92,0,0,7.84,0,0,0,7.84,0,0,1.96,0,1.96,0,0,17.64,1.96,35.28,0,1.96,1.96,0,0,0,0,0,0,5.88,0,0,0,0
