stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,1,1,0,1,0,14,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,4.1,0,0,0,1.64,0,0,0,0,0,0,0,0,0.82,0,0,0,147.75,0,1.64,0,0,0.82,1.64,32.01,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,16.92,0,0,0,1.61,0,0,0,0,0,0.81,0,0,5.64,0,0,0.81,335.16,0,1.61,0.81,0,0.81,0,62.84,0,0,0,0,0
 48-58,0,0,0,2.87,0.57,0,74.02,0,0.57,0,10.33,0,0,0,0,0,0.57,0,0,8.61,0.57,0,4.59,499.78,0,1.15,0.57,0,0.57,0.57,83.78,0,0,0.57,0,1.15
 60-70,0,0,0,0,0.98,0,119.75,0,0,0,19.63,0,0,0.98,0,0,0,0.98,0.98,6.87,0,0.98,0.98,652.71,0,1.96,0,0,0.98,0,91.28,0,0,0.98,0,0
 72-82,0,0,0,1.96,1.96,0,138.41,0,0,0,18.65,0,0,0,0,0.98,0,0.98,0,11.78,0,0,0.98,644.95,0,1.96,0.98,0.98,2.94,0,71.66,0,0,1.96,0.98,0
 84-94,0,0,0,5.31,3.19,1.06,89.21,0,0,0,13.81,0,0,0,2.12,1.06,1.06,0,0,7.43,0,1.06,1.06,324.98,0,1.06,4.25,0,2.12,0,30.8,1.06,0,2.12,2.12,0
 96-106,0,1.09,0,5.46,3.28,1.09,63.39,0,2.19,0,19.67,3.28,0,0,1.09,1.09,1.09,3.28,0,12.02,0,0,2.19,274.3,0,4.37,2.19,0,4.37,0,20.76,0,0,1.09,0,0
108-118,0,0,0,8.43,0.77,0.77,49.02,0.77,0,1.53,9.19,0.77,0,0,0,0.77,0,0.77,0,9.19,0,0,0,336.26,0,5.36,4.6,0,3.06,1.53,13.79,0.77,0,0.77,0,0
120,0,0,0,0,0,0,50.95,0,1.96,0,19.6,0,0,0,0,0,0,1.96,0,7.84,0,1.96,1.96,356.68,0,0,3.92,0,0,1.96,11.76,0,1.96,1.96,0,0
