stage,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,immune,ionocyte,mesenchyme,neural,olfactory,periderm,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,4.1,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,4.83,0,0,4.03,0
 48-58,0,0,0,0.57,0,0,0,0,0,4.59,0,0,0,0
 60-70,0,0,0,7.85,0,0,0.98,0,0,23.56,0,0,3.93,0
 72-82,0,0,0.98,2.94,0,0,0,0,0,30.43,0,0,0.98,0
 84-94,0,0,0,6.37,3.19,0,0,0,0,9.56,0,1.06,2.12,0
 96-106,0,0,0,7.65,0,0,0,0,0,13.11,0,0,1.09,1.09
108-118,0,0,0.77,7.66,0.77,0,0,0,0.77,7.66,0.77,0,1.53,0
120,0,0,0,5.88,1.96,0,0,0,0,7.84,0,0,0,0
