stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,19,1,0,0,0,0,3,0,2,8,0,0,0,0
 24-34,0,0,0.82,1.64,0,2.46,0,0,0,0,0,0.82,0,0,0,0,0.82,4.93,0,0.82,92.76,0,2.46,0,0,0,0,0,0.82,38.58,0,0,0,0
 36-46,0,0,0,0.81,0,5.64,0,0,0.81,5.64,0,0.81,0.81,0,0,0,0,0,0,0,178.86,0,4.83,3.22,0,0,0,0,0,36.26,0,0,0.81,0
 48-58,0,0,0,0.57,0,25.82,0,0,0,9.75,0,1.15,0,0,0.57,0,0,3.44,0,1.72,284.61,0,4.59,1.15,0,0.57,0,0,0,32.71,0,0,0,0
 60-70,0,0,0,0,0,71.65,0,0,0,17.67,0,0,0.98,0,0,0,0.98,2.94,0,0,385.74,0,0.98,0.98,0,0,0,0,0,44.17,0,0,0,0
 72-82,0,0,0,3.93,2.94,104.06,0,0,1.96,32.39,0.98,0.98,0,0,0,0,0.98,15.71,0.98,0,481.01,0,5.89,4.91,0,0,0,0.98,0,43.19,0.98,0,2.94,0
 84-94,0,0,0,3.19,1.06,54.16,1.06,0,0,12.74,1.06,0,0,0,0,0,0,12.74,2.12,2.12,243.21,0,4.25,4.25,0,0,0,0,0,16.99,0,0,1.06,1.06
 96-106,0,1.09,0,5.46,1.09,56.83,0,0,0,21.86,0,0,2.19,0,0,1.09,0,6.56,0,1.09,169.39,1.09,3.28,7.65,0,2.19,0,0,0,18.58,1.09,1.09,0,0
108-118,0,0.77,0,3.83,0,54.38,0,0,0.77,18.38,0.77,0,0,1.53,0,0,0,5.36,0,0.77,180.77,0,3.06,1.53,0,0,0,0,0,6.89,0,0,0.77,0
120,0,0,0,1.96,0,41.16,0,1.96,0,25.48,0,0,0,1.96,0,0,0,9.8,0,0,254.77,0,1.96,5.88,0,1.96,0,5.88,0,15.68,0,0,0,1.96
