stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,2.63,0,0,0,21.03,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,176.12,2.63,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,3.15,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.32,3.15,0,0,62.94,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,12,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,10,0,6,57,1,1,0,2,0,2,11,1,1,14,14,0,0,3,0,0
 24-34,0,0,0,0.82,2.46,0.82,0,13.95,0,0,3.28,0,0,1.64,0,0,0,0,0.82,0,18.88,0,4.93,60.74,0.82,1.64,0.82,0,0,3.28,0,0,0,0.82,18.06,0,0,4.1,0,0.82
 36-46,0,0,0,0,0,0,0,8.06,0,0.81,4.83,0,0,0.81,0,0,0,0,1.61,0.81,8.86,0,2.42,44.31,0,0.81,0,0,0,1.61,0,0.81,0,0,20.14,0,0,1.61,0,0.81
 48-58,0,0,0,0,1.15,0,0,12.05,1.15,0.57,4.59,0,0,0,0,0,0.57,0,0,0,10.33,0.57,2.3,29.84,1.15,0.57,1.15,0,0,0.57,0,0,0,0,11.48,0,0,1.72,0,0.57
 60-70,0,0,0,0,0.98,0,0,18.65,1.96,0,6.87,0.98,0,2.94,0,0,0,0.98,0,0.98,15.7,0,2.94,24.54,0,0.98,0,0,0,2.94,0,0,0,0,4.91,0,0,0.98,0,1.96
 72-82,0,0,0,0,0.98,0,0,8.83,0.98,0,3.93,0,0,0.98,0.98,0,0,0.98,0,0,13.74,0,2.94,21.6,0,0.98,0,0,0,1.96,0,0,0,0,1.96,0.98,0,3.93,0.98,0
 84-94,0,0,0,0,3.19,0,0,10.62,1.06,0,4.25,0,1.06,0,1.06,1.06,3.19,2.12,0,1.06,9.56,2.12,2.12,15.93,0,0,0,0,0,2.12,0,0,0,0,2.12,0,0,2.12,0,1.06
 96-106,0,0,0,0,0,0,1.09,4.37,0,1.09,6.56,2.19,0,0,1.09,1.09,0,0,0,0,7.65,0,1.09,12.02,1.09,1.09,0,0,0,2.19,0,0,0,0,0,1.09,0,1.09,0,1.09
108-118,0,0,0.77,0.77,0.77,0.77,0,9.19,0,0.77,3.06,0.77,0,0.77,0,0,0.77,0.77,0.77,0.77,6.89,0,0,9.19,0,0.77,0,0,1.53,3.06,0,0,0,0,0.77,0,0.77,1.53,0,1.53
120,0,0,0,0,1.96,0,0,3.92,0,1.96,7.84,1.96,0,0,0,0,0,0,0,0,11.76,0,0,7.84,0,1.96,0,0,0,1.96,0,0,0,0,1.96,0,0,3.92,0,0
