stage,epidermis,erythrocytes,eye,glial,ionocyte,mesenchyme,muscle,neural,otic,periderm,presomitic_mesoderm,pronephros,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0
 14-21,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0
 24-34,0.82,0,0.82,0,0,0,0,3.28,0,0,0,0,0,0,0.82
 36-46,0,0,1.61,0,0,0.81,0,2.42,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,1.15,0,0.57,0,0,0,0,0
 60-70,0.98,0.98,0.98,0,0,0,0,1.96,0,0,0,0,0.98,0.98,0
 72-82,0.98,0,2.94,0.98,0,1.96,0,2.94,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,3.19,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,1.09,0,1.09,0,1.09,2.19,2.19,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,0.77,1.53,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0
