stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,685.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,318.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,105.15,2.63,0,0,34.17,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,72.38,3.15,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,29,0,0,0,0,10,1,1,1,4,7,0,0,1,0,0
 24-34,0,0,0.82,0,4.93,0,0,4.93,0,0.82,3.28,5.75,0,0,0.82,1.64,0.82,0,1.64,1.64,0,4.93,0,0,0,96.04,1.64,2.46,0,0,65.67,0,0,1.64,1.64,15.6,0,0,4.93,0,0
 36-46,0,0,0,0,4.83,0,0,3.22,0,1.61,3.22,16.11,0,0,0.81,4.83,0.81,0,0,1.61,0,17.72,0,0,0.81,70.9,0,4.83,0,0,46.73,0,0,0.81,0,29.81,0,0,3.22,0,0
 48-58,0,0,0,0,8.03,0,0,5.74,0,2.3,2.3,27.54,1.72,1.15,0,5.74,0.57,0,1.72,1.72,1.72,27.54,4.02,0,2.3,43.61,0.57,2.3,2.87,0,67.71,0,0,1.15,0,28.12,0,0,5.74,0,1.15
 60-70,0,0,0,0,11.78,0,0,8.83,0,0.98,1.96,44.17,4.91,0,0,12.76,0.98,1.96,1.96,6.87,0,36.32,6.87,2.94,4.91,38.28,0,2.94,3.93,0,89.32,0,0,2.94,0,19.63,0,0,2.94,0,0
 72-82,0,0,0,0,15.71,0,0,16.69,0,0.98,1.96,74.61,43.19,0,1.96,11.78,0.98,0.98,7.85,8.83,0,78.53,5.89,1.96,9.82,35.34,0.98,10.8,5.89,0,195.35,0,0,3.93,0,2.94,0.98,1.96,7.85,1.96,0.98
 84-94,0,0,2.12,0,23.36,0,1.06,20.18,0,7.43,1.06,53.1,75.4,0,0,22.3,7.43,1.06,10.62,52.04,1.06,48.85,11.68,3.19,7.43,38.23,2.12,19.12,6.37,0,548.01,0,0,9.56,0,3.19,3.19,0,7.43,1.06,0
 96-106,0,0,2.19,0,49.18,1.09,2.19,10.93,0,6.56,2.19,32.79,136.61,0,0,21.86,5.46,2.19,14.21,155.18,1.09,57.92,12.02,4.37,5.46,76.5,0,28.41,6.56,0,540.96,0,0,7.65,0,5.46,2.19,3.28,6.56,3.28,1.09
108-118,0,0,0.77,0.77,57.45,1.53,5.36,17.62,1.53,14.55,0.77,36.77,264.26,0,0.77,14.55,19.15,1.53,13.02,284.17,0.77,45.96,23.74,3.83,2.3,62.81,0,19.92,11.49,0,672.52,0,0,14.55,0,2.3,3.83,3.06,5.36,0.77,0
120,0,0,1.96,0,107.79,1.96,1.96,23.52,0,15.68,1.96,43.12,227.34,0,3.92,29.4,7.84,0,23.52,252.81,0,45.08,7.84,0,5.88,86.23,1.96,23.52,3.92,0,493.87,0,0,23.52,0,1.96,0,1.96,5.88,1.96,0
