stage,erythrocytes,eye,glial,ionocyte,lateral_line,melanocytes,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,spinal_cord,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,6.29,0,0,6.29,0,0,0,0
 14-21,0,0,9,0,0,0,0,4,0,0,0,1,4,22,0
 24-34,0,0,8.21,0,0,0,0,6.57,0,0,0,0,0,9.85,0
 36-46,0,0,5.64,0,0,0,0,7.25,0,0.81,0,0,1.61,11.28,0
 48-58,0,0,5.16,0,0,0,0,1.72,1.15,0,0,0,1.15,8.61,0
 60-70,0,0.98,3.93,0,0,0,0.98,0,0,0,0,0,0,5.89,0
 72-82,0,0,2.94,0,0.98,0.98,2.94,1.96,0,0,0,0,0,1.96,0
 84-94,0,0,4.25,0,1.06,1.06,0,5.31,0,0,0,0,1.06,1.06,0
 96-106,0,1.09,3.28,1.09,0,0,0,0,0,0,0,0,0,4.37,1.09
108-118,0.77,0,1.53,0,1.53,0,0,2.3,0.77,0,0,0,0,3.06,0
120,0,0,5.88,0,1.96,0,3.92,0,0,0,0,0,0,0,0
