stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,1,7,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,22,1,2,0,1,1,12,0,0,0,0
 24-34,0,0,0.82,0,0,2.46,0,0,0,2.46,0,0,0.82,0,0,0,0.82,2.46,0,3.28,0,0,0.82,37.76,0,29.55,0,0,0,22.16,0,0,1.64,0
 36-46,0.81,0,4.03,0,0,3.22,0,1.61,0,1.61,0,0.81,0,0.81,0.81,0,1.61,0,0,0.81,0.81,0,0.81,33.84,0,40.28,0.81,0.81,0.81,8.86,0,0,0.81,0
 48-58,0.57,0,0.57,0,0,7.46,0,0,0.57,2.87,0,2.3,0,0,0.57,0,1.15,0.57,0,5.16,1.15,0.57,1.72,13.77,0,34.43,1.72,1.15,0,10.33,0,0,0,0
 60-70,0,0,0,0.98,0,9.82,0,0.98,0.98,5.89,0,0.98,0,1.96,0,0,0,0,0,10.8,0,0,0.98,39.26,0.98,45.15,0,1.96,0,11.78,0,0,3.93,0
 72-82,0,0,0.98,2.94,0,13.74,0.98,0,0,3.93,0.98,0.98,0,0,0,0,0.98,0,0,13.74,0.98,0,0.98,44.17,0,78.53,0.98,0,1.96,4.91,1.96,0,0,0
 84-94,0,0,1.06,1.06,0,10.62,0,0,0,5.31,2.12,1.06,1.06,3.19,2.12,0,3.19,0,0,4.25,2.12,0,1.06,28.68,0,79.65,1.06,3.19,2.12,3.19,2.12,1.06,0,0
 96-106,1.09,0,2.19,2.19,0,10.93,1.09,1.09,0,6.56,1.09,0,0,1.09,1.09,0,1.09,2.19,1.09,9.84,5.46,0,0,22.95,0,120.21,3.28,1.09,1.09,4.37,0,0,0,1.09
108-118,0.77,0.77,3.83,0,0.77,14.55,0,0,0,7.66,1.53,0,0,0.77,1.53,0,0.77,1.53,0,8.43,0.77,0,0,29.11,0.77,75.06,2.3,3.06,0.77,2.3,2.3,0.77,0.77,0
120,0,0,3.92,0,0,5.88,0,0,0,1.96,0,0,0,0,0,1.96,3.92,3.92,0,3.92,0,0,0,17.64,0,52.91,0,0,0,1.96,0,0,0,0
