stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,13,6,0,1,0,1,0,0,0,0,0,9,4,0,0,0,0,3,0,0,1,8,1,0,0,0,0,0,2,0,3,8,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,4.1,0,1.64,0,0.82,0,0.82,0.82,0,0,3.28,4.1,0,0,0.82,0,9.85,0.82,0,10.67,27.91,0,0,0,0,0,0,0,0,0,9.85,0,0,3.28,0,0
 36-46,0,0,0,0,0.81,0,0,1.61,0,0,0.81,2.42,0,1.61,0.81,4.03,3.22,0,0,0,0,24.98,0,0,7.25,31.42,0.81,0.81,0,0,0,0.81,0,0,0,8.06,0,0,4.83,0,0
 48-58,0,0,0,0,0.57,0.57,0,2.87,0,0,0.57,3.44,0,22.38,0,2.3,0.57,0,0,0,0.57,18.94,0,0.57,3.44,8.03,0,0,0,0,0,0,0,0,0,2.3,0,0,1.72,0,0.57
 60-70,0,0,0.98,0,4.91,2.94,0,4.91,2.94,0,3.93,10.8,0,6.87,1.96,2.94,4.91,0,1.96,0,0.98,87.36,0.98,0.98,13.74,7.85,0,1.96,0,0,0.98,0.98,0,0.98,0,2.94,0,3.93,5.89,0,2.94
 72-82,0,0,0,0,3.93,42.21,0,16.69,16.69,0.98,7.85,15.71,0,2.94,3.93,5.89,5.89,0,0.98,1.96,0,131.54,1.96,2.94,11.78,19.63,0,0.98,1.96,0,0.98,0.98,3.93,1.96,0,3.93,1.96,4.91,12.76,1.96,4.91
 84-94,0,0,1.06,0,16.99,32.92,0,37.17,23.36,6.37,5.31,7.43,2.12,7.43,2.12,14.87,8.5,5.31,1.06,2.12,3.19,81.78,0,4.25,10.62,12.74,1.06,0,1.06,0,1.06,3.19,14.87,6.37,0,0,0,2.12,18.05,1.06,4.25
 96-106,0,0,2.19,0,80.87,48.09,10.93,63.39,139.88,19.67,17.49,29.51,7.65,1.09,5.46,24.04,18.58,5.46,6.56,50.27,3.28,265.56,6.56,8.74,21.86,59.01,7.65,6.56,7.65,0,4.37,38.25,34.97,9.84,0,7.65,0,5.46,20.76,4.37,8.74
108-118,0,0,6.13,2.3,268.85,31.4,68.94,88.85,256.6,100.34,16.85,57.45,15.32,0,8.43,45.19,49.02,31.4,7.66,425.88,10.72,363.07,9.19,8.43,59.75,94.21,26.81,8.43,14.55,0.77,3.83,79.66,82.72,47.49,0,6.13,7.66,6.89,48.26,11.49,28.34
120,0,0,0,1.96,227.34,43.12,9.8,39.2,141.1,64.67,11.76,43.12,15.68,0,5.88,60.75,13.72,19.6,5.88,117.59,0,282.21,9.8,7.84,45.08,105.83,19.6,1.96,9.8,0,9.8,152.86,33.32,19.6,0,0,3.92,5.88,33.32,13.72,17.64
