stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,2,8,17,8,0,1,0,1,2,0,0,0,0,0,0,5,0,0,6,77,5,0,2,1,0,1,7,1,1,9,24,0,0,1,0,0
 24-34,0.82,0,0,3.28,0,4.1,0,0,0,0,0.82,0.82,0,0,0.82,0,0,5.75,0,0,1.64,54.18,1.64,0,0,0,0,2.46,0,0,0,0,11.49,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,4.03,0,0.81,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,41.09,0,0.81,0,0,0,3.22,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,1.15,0,17.79,0,0.57,0,8.61,0,0,0,0,0,0,0.57,8.03,0,0,2.87,51.64,0.57,0,0,0,0,1.15,0,0,0,0,11.48,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,4.91,0.98,0,0.98,1.96,0,0,0,0,0,0,0.98,4.91,0,0,0,7.85,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0.98,0,23.56,0,0,1.96,8.83,0,0.98,0.98,0.98,0.98,0,0,15.71,0.98,0.98,1.96,38.28,0,2.94,2.94,0,0.98,0.98,0,1.96,0,0,3.93,0.98,0.98,1.96,0,0
 84-94,0,1.06,0,1.06,0,16.99,0,1.06,0,4.25,2.12,1.06,0,0,0,1.06,0,16.99,0,0,3.19,19.12,2.12,0,0,0,1.06,6.37,0,2.12,0,0,2.12,1.06,0,1.06,0,0
 96-106,0,0,0,3.28,0,8.74,0,0,1.09,7.65,2.19,0,2.19,0,1.09,1.09,0,22.95,0,0,2.19,21.86,0,0,1.09,0,0,0,0,1.09,0,0,0,0,2.19,0,1.09,2.19
108-118,0,0,0,1.53,0,3.83,0,0,0.77,6.13,0.77,0,0.77,0,0,0.77,0.77,9.96,0,0,3.83,26.81,0,0,2.3,0,0,0.77,0,0,0.77,0,0.77,0,0,0,0,0
120,0,0,0,9.8,0,1.96,0,0,0,1.96,0,0,0,0,0,1.96,0,9.8,0,0,1.96,15.68,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
