stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,1,1,0,0,0,0,3,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,19.7,0,0.82,0.82,0,0,0,0,0.82,7.39,0,0,0,0
 36-46,0,0,0,0,0,0,17.72,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0,68.48,0,0,0,0,0,0,0,0,13.7,0,0,0,0
 48-58,0,0,0,0,1.15,0,109.02,0,0,2.87,0,0,0,0,0,0,0.57,0.57,0,0,113.61,0,0,0,0,0,0,0.57,0,22.38,0,0,0,0
 60-70,0,0,0,0,0,0,344.51,0,0,0.98,0,0,0,0,0,0,2.94,0.98,0,0.98,87.36,0,0,0,0,0,0,0,0,16.69,0,0,0,0.98
 72-82,0,0,0.98,0,0.98,0.98,529.12,0,0.98,10.8,0,0,0,0,0,0.98,9.82,0,0.98,0.98,102.09,0,0.98,1.96,0,0,0,0,0,27.49,0,0,0.98,0
 84-94,0,0,0,0,3.19,3.19,430.13,0,1.06,3.19,0,0,0,1.06,0,0,7.43,0,0,0,44.61,0,1.06,1.06,0,0,1.06,0,0,4.25,0,1.06,1.06,0
 96-106,0,0,0,0,3.28,0,407.63,1.09,0,5.46,1.09,1.09,1.09,1.09,1.09,0,7.65,0,1.09,0,38.25,0,0,2.19,0,2.19,0,0,0,4.37,0,0,0,0
108-118,0,0,0,0,2.3,0.77,271.15,0,0,3.06,0,0,0,0,0,0,5.36,0,0,0,43.66,0.77,0.77,2.3,0,0.77,0.77,0.77,0,2.3,1.53,1.53,0,0
120,0,0,0,0,0,1.96,292.01,0,0,3.92,0,0,0,0,1.96,0,1.96,0,0,1.96,29.4,0,0,0,0,1.96,0,0,0,5.88,0,0,0,0
