stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0.81,0,0.81,0,0,0,0
 48-58,0,0,0.57,0,0.57,0,0.57,0,0.57,0,0,0.57,0,0,0,0.57,0,0,0,0.57,6.31,0.57,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.96,0,0,0.98,1.96,0,0,0,0,0,0,0,0.98,6.87,0.98,0,0.98,0,0
 72-82,0.98,0,0,0,2.94,0,0.98,55.95,0,0,0,1.96,0.98,0,0,5.89,0,0,0,3.93,16.69,0.98,0,1.96,0.98,0
 84-94,5.31,4.25,0,0,1.06,0,1.06,88.15,0,0,0,4.25,1.06,0,1.06,3.19,0,0,0,1.06,40.36,2.12,0,2.12,0,0
 96-106,9.84,4.37,0,0,13.11,1.09,3.28,276.49,0,0,0,2.19,5.46,0,0,43.71,4.37,1.09,0,0,57.92,2.19,1.09,2.19,0,1.09
108-118,3.83,6.13,0.77,0,4.6,0,1.53,390.64,0,0.77,0,5.36,1.53,0.77,0,36,0,0,0,3.06,26.81,0,0,1.53,0,0
120,3.92,1.96,0,5.88,0,0,1.96,250.85,0,0,0,0,3.92,0,0,35.28,0,0,0,0,25.48,0,0,1.96,0,0
