stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,13,4,11,1,0,0,0,0,7,0,4,0,0,0,2,0,0,1,53,0,2,0,0,0,2,32,0,0,3,0,0
 24-34,0,2.46,8.21,3.28,0.82,1.64,0,0,0.82,0,8.21,0,4.1,0.82,0,0,1.64,0,0,1.64,159.25,0,8.21,1.64,0,0,0,94.4,0,0,11.49,0,0
 36-46,0,0,0.81,2.42,0,0.81,0.81,0,2.42,0.81,2.42,0,3.22,0,0,0,4.83,0,0,0,215.92,0,6.45,1.61,0,0.81,0,99.1,0,0,4.83,0,0
 48-58,0,1.15,0,0.57,0,9.18,0,0,1.15,2.3,1.72,0,2.3,0.57,0,0,1.72,0,0,0.57,250.18,0.57,2.3,4.59,0,0,0,61.97,0,0,4.02,0,1.72
 60-70,0,0.98,0,0.98,0,53.98,0,0,0.98,1.96,1.96,0,1.96,0,0.98,0,6.87,0,0,0,324.88,0,2.94,9.82,0,0,0.98,57.91,0.98,1.96,2.94,0.98,0
 72-82,0,12.76,0,4.91,0.98,80.5,0,0,2.94,13.74,7.85,0,6.87,0,0.98,0.98,9.82,0,0,0,482,0,0.98,15.71,0,0.98,0,55.95,2.94,0,7.85,0,0
 84-94,0,15.93,0,3.19,1.06,52.04,0,1.06,3.19,12.74,4.25,0,3.19,1.06,2.12,0,7.43,0,0,0,253.83,0,2.12,31.86,0,1.06,0,25.49,2.12,0,8.5,1.06,0
 96-106,0,6.56,0,3.28,2.19,43.71,0,0,1.09,18.58,7.65,0,12.02,1.09,1.09,0,13.11,0,1.09,2.19,252.45,0,4.37,48.09,1.09,2.19,0,6.56,10.93,0,5.46,3.28,0
108-118,0,8.43,0,3.06,0.77,59.75,0.77,0,1.53,23.74,6.89,0,2.3,0,0.77,0,8.43,0,0.77,0,307.15,0,3.06,28.34,0,1.53,0,9.19,14.55,0,8.43,0.77,0
120,0,0,0,1.96,0,41.16,0,0,1.96,25.48,9.8,0,1.96,0,1.96,0,3.92,3.92,0,1.96,364.52,0,3.92,39.2,1.96,1.96,0,21.56,5.88,0,15.68,1.96,0
