stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,19,3,1,0,0,0,0,1,1,0,5,0,0,0,1,1,1,0,1,7,0,0,1,0,5,2,1,0,1,6,0,0,1,0,2
 24-34,0,0,0,12.31,0,3.28,0,0,0.82,1.64,0,0.82,0.82,18.88,0.82,0,2.46,0,9.03,0,0,6.57,100.97,1.64,4.1,1.64,0,22.16,0,1.64,0,0,25.45,0,0,6.57,0,1.64
 36-46,0,0,0,4.03,0.81,4.03,0,0.81,0.81,3.22,0,0.81,1.61,1.61,0,0,0.81,1.61,11.28,0,0,3.22,52.37,1.61,5.64,0,0,22.56,0,1.61,0,0,23.36,0,0,7.25,0,1.61
 48-58,0,0,0,1.15,0,9.75,0,1.72,1.72,4.02,0,0.57,3.44,1.15,0,0,0,2.3,10.33,0.57,0,4.59,32.71,0,2.87,0,0,9.75,0,0,0,0,9.75,0,0,0,0,10.9
 60-70,0,0,0,3.93,0,18.65,0,0.98,0.98,8.83,0.98,0,1.96,0.98,0.98,0.98,0,2.94,7.85,0,0,0.98,39.26,0,1.96,0,0,13.74,0,1.96,0.98,0,6.87,0.98,0,0.98,0,3.93
 72-82,0,0.98,0,8.83,0,23.56,0,0,1.96,19.63,0,2.94,2.94,2.94,1.96,0.98,0,3.93,55.95,0,1.96,2.94,30.43,0,4.91,0,1.96,13.74,0,0,0,0,2.94,1.96,0,5.89,3.93,4.91
 84-94,0,1.06,1.06,11.68,0,8.5,1.06,4.25,0,10.62,0,2.12,16.99,1.06,3.19,1.06,1.06,5.31,41.42,0,2.12,3.19,7.43,1.06,4.25,1.06,2.12,45.67,0,1.06,0,0,3.19,4.25,2.12,11.68,2.12,7.43
 96-106,0,1.09,0,10.93,0,10.93,0,1.09,0,7.65,4.37,1.09,13.11,2.19,1.09,2.19,1.09,1.09,19.67,1.09,0,2.19,18.58,0,6.56,0,1.09,42.62,0,0,1.09,0,2.19,0,1.09,5.46,3.28,9.84
108-118,0,1.53,0,18.38,0.77,5.36,0,6.89,0.77,9.96,3.06,0.77,17.62,3.06,3.06,2.3,1.53,3.83,19.92,0,0.77,4.6,12.26,0.77,2.3,0,3.06,37.53,0,0,0,0,1.53,1.53,0,3.06,1.53,13.79
120,0,0,0,15.68,0,1.96,1.96,0,0,3.92,9.8,1.96,23.52,1.96,3.92,1.96,3.92,0,25.48,1.96,1.96,1.96,9.8,0,9.8,1.96,0,54.87,0,0,0,0,5.88,3.92,0,7.84,1.96,7.84
