stage,epidermis,eye,glial,gut,ionocyte,lateral.line,mesenchyme,neural,olfactory,periderm,spinal.cord,taste,vasculature
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,3.28,0,1.64,0,0,0
 36-46,0,1.61,0,0,0,0,0,4.03,0,1.61,0.81,0,0
 48-58,0,0.57,0,0,0,0,0,2.3,0.57,1.72,0,0,0
 60-70,0,0,0,0,0,0,0.98,4.91,0.98,7.85,0.98,0,0
 72-82,0,4.91,0.98,0,0,0,1.96,7.85,0,1.96,0,0,0.98
 84-94,2.12,2.12,0,1.06,0,0,0,3.19,1.06,7.43,0,0,0
 96-106,1.09,3.28,1.09,1.09,0,2.19,0,2.19,2.19,4.37,0,0,1.09
108-118,0,0.77,0.77,0.77,0.77,0,0,3.06,0,3.06,0,0,0
120,3.92,0,0,0,0,0,0,1.96,0,5.88,0,1.96,0
