stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,neural,olfactory,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,1,3,0,3,0,1,2,0,2,4,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,2.42,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0.57,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0.57
 60-70,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,1.06,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,1.09,2.19,1.09,0,0,2.19,0,0,1.09,0,0,0,1.09,1.09,0,7.65,0,0,0,0,2.19
108-118,0,0,2.3,0,3.83,0,0.77,3.06,0,0.77,0.77,0,0,1.53,0,4.6,0.77,3.83,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,7.84,0,0,0,0,0
