stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.72,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,56.65,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,15,1,1,0,0,3,3,0,0,3,5,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,3.28,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,3.28,0,4.1,44.33,2.46,0,0,0,2.46,0,0,0.82,0,9.85,0,0,1.64,0,0
 36-46,0,0,0,0.81,0.81,0,3.22,0.81,0,0,2.42,0,0,0,0,0,0,0,0.81,0,23.36,0,4.83,157.91,1.61,0,0,0,1.61,0,0,0,0,9.67,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,16.64,0,1.15,0.57,4.59,0,0,0,0,0,0,0,0.57,0,35.58,0.57,9.75,274.85,1.15,0.57,0,0,0,0,1.15,0.57,0,12.62,0,0,0.57,0,0
 60-70,0,0,0,1.96,0,0,60.85,0,0,0.98,12.76,0.98,0,0.98,0,0,0,0.98,0,0,54.97,0,6.87,677.25,1.96,0.98,0,3.93,1.96,0,0,0,0,39.26,0,0,0,0,1.96
 72-82,0,3.93,0,5.89,0.98,0,116.82,0,0.98,1.96,27.49,0,0,1.96,0,0,1.96,0.98,0.98,0,65.77,1.96,10.8,811.83,3.93,1.96,0,3.93,2.94,0,0,0,0,34.36,3.93,1.96,0.98,0.98,0.98
 84-94,0,4.25,0,4.25,1.06,0,83.9,0,0,2.12,16.99,1.06,0,1.06,2.12,1.06,0,0,0,1.06,38.23,3.19,13.81,412.07,2.12,0,0,5.31,5.31,0,0,0,0,28.68,0,0,1.06,2.12,1.06
 96-106,0,3.28,0,9.84,1.09,0,71.04,1.09,0,0,13.11,1.09,0,0,1.09,0,2.19,3.28,0,0,67.76,2.19,6.56,407.63,5.46,1.09,0,3.28,6.56,0,0,0,0,12.02,2.19,2.19,0,1.09,0
108-118,0,1.53,0,6.89,3.06,0,64.34,0,0,0,14.55,0.77,0,0.77,0.77,0.77,0,0,0.77,0.77,42.13,3.06,4.6,426.64,3.06,0,0,1.53,3.06,0,0.77,0,0,6.89,1.53,0.77,1.53,1.53,0
120,0,0,0,9.8,0,1.96,64.67,0,0,0,15.68,1.96,0,1.96,0,0,0,0,0,0,43.12,0,1.96,513.46,3.92,0,0,1.96,0,0,3.92,0,0,7.84,0,0,3.92,0,0
