stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,6,0,0,0,3,1,1,3,1,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,1.64,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0,0.81,0,0,0,1.61,0,0.81,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0.57,0.57,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0.98,0,1.96,0,0,0,0.98,0,0,0,0,0.98,0,0
 84-94,0,1.06,1.06,0,1.06,1.06,0,0,0,1.06,0,0,3.19,0,0,3.19,0,0,0,5.31,0,0,0,0,4.25,0,0
 96-106,0,1.09,1.09,0,8.74,1.09,3.28,1.09,1.09,1.09,2.19,1.09,3.28,0,2.19,10.93,0,1.09,0,4.37,0,0,0,1.09,2.19,0,0
108-118,0.77,2.3,0.77,1.53,2.3,0,0.77,0,0.77,0,0,0,2.3,0,0.77,6.89,0,0,0,0.77,0,0,0,0.77,3.06,0,0
120,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,1.96
