stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,17,2,0,0,0,0,0,0,0,0,9,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,32.01,0,0,0,0,0,0,0,0,0.82,6.57,0,0,0,0,2.46,0.82,0,0,0,5.75,0,0,0,0,0.82,0,0.82,0,0,0,0,0
 36-46,0,0,84.6,0,0,0.81,0,9.67,0,0,0,0,20.14,0,0,0,0,0,2.42,0,0,0,12.09,0,0,0,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,172.14,0,0,6.31,0,24.1,0,1.15,0,0.57,3.44,0,0,0,0,0.57,1.15,0.57,0.57,1.15,13.2,0,0,0,0,0,0,4.59,0,0,1.15,0,0.57
 60-70,0,0,307.22,0,0,23.56,0,68.71,0.98,0.98,0,0,15.7,0,0,2.94,0,0,14.72,2.94,0,0.98,37.3,0,0,0,0,2.94,0,5.89,0,0,1.96,0,0
 72-82,0,0,295.48,0,0,6.87,0.98,71.66,1.96,2.94,0.98,0.98,16.69,0,0.98,0,0,0,12.76,4.91,0,0,17.67,0,0.98,0,0.98,0.98,0,1.96,0,0.98,2.94,0.98,0.98
 84-94,1.06,0,548.01,0,0,6.37,0,146.56,0,4.25,2.12,2.12,14.87,1.06,0,1.06,0,1.06,8.5,8.5,0,0,11.68,1.06,0,0,1.06,2.12,0,0,0,0,9.56,1.06,0
 96-106,0,0,618.55,5.46,2.19,22.95,1.09,185.78,2.19,7.65,22.95,8.74,50.27,1.09,0,2.19,6.56,0,43.71,12.02,2.19,2.19,54.64,0,2.19,2.19,1.09,13.11,1.09,0,1.09,3.28,12.02,5.46,1.09
108-118,0,0.77,517.79,2.3,2.3,16.09,0.77,254.3,2.3,13.02,16.85,0.77,31.4,2.3,0.77,4.6,2.3,0.77,39.06,6.89,1.53,3.06,37.53,0,0.77,0.77,6.13,3.83,0.77,1.53,0,0.77,11.49,0.77,0
120,0,0,395.88,0,1.96,13.72,0,186.18,0,5.88,7.84,1.96,74.47,1.96,0,0,1.96,0,29.4,1.96,1.96,0,33.32,0,1.96,0,1.96,1.96,0,0,1.96,0,9.8,1.96,0
