stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,316.27,3979.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,251.32,3254.84,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,79.69,6.13,0,0,24.52,0,42.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,47.32,68.35,94.63,0,0,118.29,0,0,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0,1853.24,57.83,0,0,528.37,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,34.62,59.79,0,9.44,72.38,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,1302.85,9.44,0,0,371.34,0,0,0,0,34.62,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,6,0,4,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,3,97,2,1,0,2,0,0,0,8,0,0,7,25,0,0,1,0,0
 24-34,0,0,1.64,6.57,0,30.37,0,1.64,0,3.28,0,0,0,0,0,0,1.64,0,14.78,0,0,9.85,440.8,1.64,4.93,0,0,0,1.64,0,0,0,0.82,0.82,86.19,0,0,0.82,0,0.82
 36-46,0,0,0,4.83,0,132.94,0,0,1.61,14.5,0,0,0.81,0,0.81,0,1.61,0,37.87,0,0,8.86,869.32,0.81,3.22,2.42,0,0,0,0,0,0,0,0,163.55,0,0,3.22,0,1.61
 48-58,0.57,0,0,2.87,0,139.43,0,0.57,1.15,20.08,0,0,0.57,0,0,0,0.57,0.57,37.87,0,1.72,4.59,539.95,0,0.57,0,0,0,0.57,0,0,0,0,0,104.43,0,1.72,2.87,0,0
 60-70,0,0,0,1.96,0.98,94.23,0,0.98,0.98,19.63,0,0,0,0,0.98,0,0,0,45.15,0,0,8.83,335.68,1.96,0,0,0,0,0.98,0,0,0,0,0,58.89,0,0,3.93,0.98,0.98
 72-82,0,0,0,2.94,0,56.94,0.98,0,1.96,23.56,1.96,0,0,0.98,0,0.98,0.98,0,98.17,0,4.91,10.8,207.13,0.98,0,0.98,0,1.96,0.98,0,0,0,0,0,19.63,0.98,0.98,0,0.98,0
 84-94,0,0,0,7.43,0,50.98,1.06,1.06,1.06,15.93,0,0,1.06,0,1.06,0,1.06,0,60.54,1.06,5.31,4.25,121.07,3.19,1.06,4.25,0,0,4.25,0,0,0,1.06,0,19.12,0,2.12,3.19,2.12,1.06
 96-106,1.09,0,0,7.65,0,33.88,0,1.09,3.28,19.67,2.19,0,0,0,1.09,0,0,2.19,72.13,0,1.09,7.65,73.22,1.09,1.09,3.28,0,0,2.19,0,0,0,0,0,5.46,0,0,4.37,1.09,0
108-118,0,0,0,9.19,0,29.87,0,0.77,0.77,20.68,1.53,0,0,0,1.53,0,2.3,0,64.34,0,3.06,12.26,115.66,1.53,0,2.3,0,0.77,1.53,0,0,0,0,0,3.06,0,3.06,2.3,1.53,0
120,0,0,0,11.76,0,29.4,0,3.92,1.96,25.48,1.96,0,0,1.96,0,1.96,0,0,62.71,0,1.96,11.76,135.23,0,1.96,7.84,0,0,1.96,0,0,0,0,0,1.96,0,3.92,3.92,3.92,0
