stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.32,0,0,0,12.59,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170,0,7,3,0,3,1,5,0,0,24,67,0,0,3,0,0
 24-34,0,0,4.1,1.64,328.34,0,0.82,0.82,0,0.82,0,0,0,0.82,0.82,0,4.93,0,0,0,384.16,0,9.85,2.46,0,5.75,0,0,6.57,0.82,0.82,87.01,0,0,6.57,0,0
 36-46,0,0,1.61,0,1058.65,0,0,11.28,0,0,0,0,0,2.42,0,0,10.47,0,0,0,541.41,0,8.86,4.83,0,3.22,0,0,1.61,0,0,82.98,0,0,3.22,0,0.81
 48-58,0,0,1.15,0.57,962.84,0.57,0,18.36,1.15,0,1.72,0.57,0,1.15,0,0.57,17.79,0.57,0.57,1.72,383.88,0.57,1.72,4.02,0,1.15,0,0,1.72,0,0,60.82,0,0.57,3.44,0,0
 60-70,0,0.98,1.96,0.98,503.52,0,0.98,35.33,0,0,0,0,0,1.96,0,0,53.98,1.96,0.98,0.98,164.9,0,2.94,3.93,0,2.94,0,0,0,0,0,25.52,0,0,0.98,0,0
 72-82,0,0.98,4.91,1.96,182.59,0,0,41.23,1.96,0,0,0,0,1.96,0,0,152.16,0,0,3.93,100.13,0,0.98,6.87,0,0,0,0,0.98,0,0,7.85,0.98,0,0.98,0,0
 84-94,0,0,4.25,0,135.94,0,1.06,24.43,4.25,0,7.43,0,0,3.19,1.06,0,110.45,0,1.06,4.25,72.22,0,4.25,11.68,0,1.06,0,0,2.12,0,0,5.31,1.06,0,2.12,0,0
 96-106,0,0,2.19,1.09,100.54,2.19,0,24.04,1.09,0,0,0,0,3.28,0,0,79.78,0,0,2.19,50.27,0,3.28,9.84,0,3.28,0,0,1.09,0,0,3.28,0,1.09,2.19,0,0
108-118,0,0,3.06,0.77,91.15,0,0,23.74,0.77,0,3.06,0.77,0.77,2.3,1.53,0,39.06,0,0.77,2.3,90.38,0,0.77,7.66,0,1.53,0,0,3.83,0,0,0.77,0.77,0.77,1.53,0,0
120,0,0,5.88,1.96,84.27,0,0,45.08,0,0,3.92,0,0,0,1.96,0,39.2,0,0,1.96,62.71,0,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0
