stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,hatching.gland,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,18.39,208.41,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,13.14,0,0,5.26,0,2.63,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,1.64,0,0,0,0,0,0,0,1.64,0,0.82,22.98,0.82,0,0,0.82,0,6.57,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,49.95,2.42,0.81,0,0,0,16.11,0,0,0,0
 48-58,0,0,0,0,0,2.3,0.57,0.57,0,0,0,0,0,0,0,0,79.76,0,0,0,0,0,12.62,0,0,0,0
 60-70,0,0,0,0,0,21.59,0,1.96,0,0,0,0.98,0,0.98,0,0,173.73,0,1.96,0,0,0,21.59,0,0,0,0
 72-82,0,0,0,0.98,0,46.14,0,3.93,0,0,0,0,0,2.94,0.98,0.98,218.91,2.94,0.98,0,0,0,19.63,0.98,0,0,0
 84-94,0,0,0,0,0,30.8,0,0,0,0,1.06,1.06,0,0,0,0,94.52,1.06,2.12,0,0,0,7.43,0,0,1.06,0
 96-106,0,0,0,1.09,0,22.95,0,1.09,0,1.09,1.09,2.19,0,1.09,0,1.09,98.36,0,2.19,0,0,0,2.19,0,0,0,1.09
108-118,0,0,0,0.77,0.77,30.64,0,3.06,0,0,0,0,0.77,1.53,0,0,91.92,0,0.77,0,0,0,2.3,0,0.77,0,0
120,0,0,0,0,0,21.56,0,3.92,0,0,0,0,0,1.96,0,0,127.39,1.96,5.88,0,1.96,0,7.84,0,0,1.96,0
