stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,3,5,4,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,108,0,0,1,0,2,0,1,0,0,2,43,0,0,1,0
 24-34,0,0,0,14.78,0.82,0,0,0,0.82,2.46,0,0,0,0,0,3.28,0,0,0.82,406.32,0,1.64,0,0,2.46,0,0,0.82,0.82,0,81.26,0,0,12.31,0.82
 36-46,0,0,0,71.7,0,0.81,8.86,0,0,0.81,0.81,0,0,0,0,4.03,0,0,0.81,724.3,0,2.42,0,0,0.81,0,0,0,0,0,134.55,0,0,4.83,0
 48-58,0.57,4.02,0,177.31,0,0.57,30.99,0,0,1.72,0,0.57,0,0,0.57,9.18,0,0.57,1.15,753.98,0.57,1.15,1.15,0,1.72,0.57,0,0,0,0,119.35,0,0,6.31,1.15
 60-70,0,3.93,0,330.77,0,0,34.35,0,0,6.87,0,0,0,0,0,6.87,0,0.98,1.96,898.09,0,0,0.98,0,3.93,0,0,0.98,0,0,126.62,0,0,10.8,0.98
 72-82,0.98,5.89,2.94,253.27,0,0,30.43,0.98,0,6.87,0,0.98,0,0,0,11.78,0,0,1.96,699.92,0,2.94,1.96,0.98,2.94,0,0,0.98,0,0,62.83,0.98,0.98,13.74,0
 84-94,0,2.12,1.06,166.74,1.06,0,24.43,0,2.12,16.99,0,0,0,0,0,8.5,0,0,1.06,347.29,0,0,0,0,9.56,0,0,1.06,0,0,31.86,1.06,1.06,16.99,1.06
 96-106,1.09,7.65,2.19,101.63,1.09,0,21.86,1.09,1.09,12.02,0,0,1.09,0,0,10.93,0,0,2.19,264.47,0,0,0,0,4.37,0,0,0,1.09,0,13.11,0,1.09,9.84,0
108-118,0,9.19,1.53,72,1.53,0.77,12.26,1.53,0.77,13.02,0,0,0,0.77,0,9.19,0.77,2.3,0.77,253.53,0,2.3,0.77,0,1.53,0,0,0,0,0,9.19,0,0,17.62,0
120,0,3.92,1.96,88.19,0,0,27.44,1.96,0,21.56,0,0,1.96,0,0,9.8,0,0,0,342.96,1.96,0,1.96,1.96,1.96,0,0,0,0,0,13.72,0,0,7.84,0
