stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,593.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,404.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,10.51,0,0,18.4,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,184.01,21.03,0,0,202.41,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,9.44,3.15,0,0,31.47,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,213.99,0,0,0,122.73,0,0,3.15,3.15,18.88,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,24,1,0,0,0,0,0,0,6,0,2,6,6,0,0,0,0,0
 24-34,0,0,0,3.28,0,4.1,0,0.82,0.82,0.82,0,0,0,0,0,0,0,0,4.93,0,5.75,67.31,0,0,1.64,0,0,0.82,0,0,0,0,3.28,19.7,0,0,3.28,0,0.82
 36-46,0,0,0,0.81,0,8.06,0,0,0.81,6.45,0,0,0,0,0,0,0,0.81,8.06,0.81,2.42,13.7,0.81,0,0,0,0,2.42,0,0,0,0,0,8.06,0,0,0.81,0,0
 48-58,0,0,0,1.72,0,8.61,0,0,0,4.59,0,0,0.57,0,0,0,0.57,0,14.35,0,2.3,11.48,0.57,1.15,0,0,0,0.57,0,0,0,0,0,8.61,0,0.57,1.72,0,0.57
 60-70,0,0,0,0,0,8.83,0,0,0,6.87,0.98,0,0,0,0,0,0,0.98,13.74,0,1.96,7.85,0,0,0,0,0.98,0,0,0,0,0,0,1.96,0,0,0.98,0,0.98
 72-82,0,0,0,2.94,0,5.89,0,0.98,0,4.91,0,0,0.98,0.98,0.98,0,0,0,18.65,0.98,2.94,6.87,0,0,0.98,0,0,0,0,0,0,0,0,1.96,0,0,0.98,0.98,0
 84-94,0,0,0,4.25,0,3.19,0,1.06,2.12,7.43,0,0,0,0,0,0,0,0,18.05,4.25,1.06,12.74,0,0,1.06,0,0,2.12,0,0,0,0,0,0,0,1.06,2.12,0,0
 96-106,0,0,0,5.46,1.09,5.46,0,0,1.09,5.46,0,0,0,1.09,1.09,2.19,0,0,8.74,3.28,2.19,6.56,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0.77,6.89,0,4.6,0.77,0.77,1.53,8.43,0.77,0,0,0,2.3,0,0,0,12.26,0,2.3,8.43,0,0,0.77,0,0.77,0.77,0,0,0,0,0,0,0.77,0,3.83,0,0.77
120,0,0,0,0,0,0,0,0,1.96,3.92,0,0,0,0,0,1.96,0,0,5.88,1.96,0,9.8,3.92,0,0,0,0,1.96,0,0,0,0,0,0,0,0,5.88,1.96,0
