stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,42.91,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,55.2,0,0,0,0,0,0,0,0,0,0,0,0,57.83,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,31.54,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,97.56,0,0,0,37.76,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,2,6,2,0,5,0,0,0,2,1,0,0,0,0,0,0,3,8,0,0,0,2,149,1,2,2,2,0,0,0,4,1,2,68,0,0,1,0,0
 24-34,0,0,0,0,2.46,0,0,13.95,0,0,0,1.64,0.82,0,0,0,0,0.82,0,0,36.12,2.46,0,0,1.64,710.86,0.82,20.52,5.75,0,0,0,0,0,0.82,0,128.05,0,0,6.57,0,4.1
 36-46,0,0,0,0,0,0,0,23.36,0,0,0,7.25,0,0,0,0.81,0,0.81,0,0.81,6.45,3.22,0,0,1.61,1948.11,0,31.42,2.42,0,0,0,0,0,0,0,246.53,0,0,1.61,0,1.61
 48-58,0.57,0,0.57,0,6.89,1.72,0,229.52,0.57,0.57,1.15,36.15,0,0,1.72,1.15,0.57,0.57,0.57,0.57,1.72,12.62,0,0.57,1.72,2818.53,0.57,25.25,1.72,0,0,2.87,0,0,0.57,0,348.87,0,0.57,4.02,0,2.87
 60-70,0,0,1.96,0,2.94,0,0,765.59,0,0,0,45.15,0,0,0,0,0,5.89,3.93,0.98,0,21.59,0,0,2.94,4002.65,0,26.5,5.89,0,0.98,5.89,0,0,0,0,410.28,0,0,1.96,0,0
 72-82,0,0,0,0,16.69,4.91,0,925.71,0.98,0.98,2.94,64.79,0,0,0,0.98,0,15.71,2.94,0,0,53.01,0.98,2.94,2.94,3106.96,1.96,55.95,13.74,0,0,6.87,0,0,0,0,251.31,0,2.94,3.93,0.98,3.93
 84-94,0,0,1.06,0,32.92,2.12,1.06,558.63,2.12,1.06,2.12,63.72,2.12,0,1.06,1.06,0,12.74,7.43,0,0,55.23,1.06,2.12,4.25,1516.59,1.06,40.36,15.93,0,0,5.31,0,0,0,0,156.12,0,1.06,6.37,4.25,2.12
 96-106,0,0,1.09,0,18.58,2.19,1.09,392.33,0,2.19,1.09,53.55,3.28,0,0,0,1.09,16.39,6.56,0,0,32.79,1.09,1.09,3.28,1105.96,0,63.39,21.86,0,0,6.56,0,0,0,0,53.55,2.19,2.19,2.19,0,1.09
108-118,0,0,0.77,0.77,17.62,0.77,2.3,277.28,0,0,0.77,26.81,0.77,0,0,2.3,0,27.57,2.3,0,2.3,26.81,0,0.77,0.77,1413.2,0.77,29.11,11.49,0,0,3.06,0,0,0,0,37.53,0.77,1.53,4.6,0.77,3.06
120,0,0,0,0,5.88,1.96,0,217.54,0,0,1.96,33.32,1.96,0,0,0,0,17.64,5.88,0,0,27.44,0,0,0,1338.53,0,23.52,17.64,0,0,3.92,0,0,1.96,0,43.12,0,0,1.96,0,0
