stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
 24-34,0,0.82,0.82,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,1.64,0.82,0,0,0,0,27.09,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0.81,0,0,0,1.61,0,0,0,0,4.03,0,0,0,0,0,17.72,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,0,1.72,0,0,0.57,0,0,0,0,6.31,0,0.57,0,0,3.44,0,0,0,0,0,13.77,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0,1.96,0,0.98,0,0,0,0,0,11.78,0,0,0,0,1.96,0,0,0,0,0,13.74,0,4.91,0,0,0,0,0
 72-82,0,0,0,0,0,2.94,0,4.91,0,0,0,0,0,74.61,0,1.96,0,0.98,12.76,0,0,0,0,0,53.01,0,3.93,0,0,0,0,0
 84-94,0,0,1.06,1.06,0,3.19,0,0,0,0,0,0,1.06,133.82,1.06,0,0,0,8.5,0,0,1.06,0,1.06,71.16,0,1.06,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,12.02,0,2.19,2.19,0,2.19,0,0,475.39,0,5.46,2.19,1.09,39.34,0,2.19,1.09,0,8.74,103.82,1.09,0,1.09,0,1.09,0,1.09
108-118,0,0,0.77,2.3,0.77,6.13,0,0.77,0,0,1.53,0.77,0,717.71,0,3.06,0,0,39.83,0,0,0,0,2.3,102.64,0,3.83,0,0,0.77,0.77,0.77
120,0,0,1.96,0,0,5.88,1.96,0,1.96,0,0,0,0,519.34,0,1.96,0,0,15.68,0,0,0,0,5.88,74.47,0,3.92,0,1.96,0,0,0
