stage,axial,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,0,14,0,0,0,9,0,0,0,0,1,0,0,25,0,0,0,0,15,0,0,0,0,0,2,0,6,0,0,0,49
 24-34,0,0.82,0,0,86.19,0,0,6.57,9.85,0,0,0,0,2.46,0,0,114.92,3.28,0,0,1.64,47.61,0,0.82,0,0,1.64,22.16,0.82,12.31,0,0.82,0,159.25
 36-46,0,0,0,0,55.59,0,0,23.36,1.61,0,0,0,0,2.42,0,0,126.49,2.42,0,0.81,0.81,31.42,0,0,0.81,0,0,12.89,0,8.86,0,0,0,104.74
 48-58,0,0,0.57,0,88.94,0.57,0.57,59.68,1.15,0,0.57,0.57,0,2.3,0,1.72,91.81,10.33,0,0,1.72,26.97,0,0.57,0.57,0,1.15,8.61,0,9.18,0,0.57,0,114.76
 60-70,0,0.98,0,0,123.67,0,3.93,94.23,3.93,0,0,0,0,2.94,0,3.93,51.04,6.87,0,0,1.96,23.56,0,0,0.98,0,0.98,13.74,0,2.94,0,0,0,44.17
 72-82,0,1.96,0.98,0,96.2,0,2.94,155.1,4.91,0.98,0,0,0,0.98,0,22.58,45.16,39.27,0,0,3.93,18.65,0,0.98,0.98,0,1.96,36.32,0,2.94,1.96,0.98,0.98,34.36
 84-94,0,1.06,0,0,152.93,0,3.19,113.64,0,0,0,1.06,0,3.19,1.06,53.1,62.66,35.05,0,0,5.31,20.18,0,0,0,0,2.12,65.85,0,0,0,2.12,1.06,10.62
 96-106,0,9.84,3.28,1.09,87.43,0,7.65,111.47,6.56,1.09,1.09,1.09,1.09,1.09,1.09,249.17,61.2,76.5,0,0,4.37,39.34,0,1.09,1.09,1.09,2.19,102.73,0,2.19,0,1.09,2.19,5.46
108-118,0,3.06,0,1.53,65.11,0,4.6,117.19,6.13,0.77,0,2.3,0,0.77,0,468,67.4,136.34,0.77,0,6.89,28.34,1.53,0.77,1.53,0.77,5.36,87.32,0,0.77,0,0.77,0.77,3.83
120,0,0,1.96,0,33.32,1.96,1.96,129.35,7.84,0,0,0,0,0,0,423.31,23.52,174.42,0,0,7.84,37.24,0,1.96,0,0,3.92,54.87,0,0,0,5.88,0,0
