stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,34.17,2.63,5.26,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,6.29,0,6.29,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0.57,0.57
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0.98
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,12.76
 84-94,0,0,0,0,3.19,0,0,0,0,2.12,0,0,0,0,24.43
 96-106,0,0,0,0,9.84,0,1.09,1.09,0,1.09,0,0,0,0,39.34
108-118,0,0,1.53,0.77,2.3,0,0,0,1.53,3.06,0,0,0.77,0,78.89
120,0,0,0,0,1.96,0,0,0,0,3.92,0,0,0,0,33.32
