stage,epidermis,eye,glial,gut,mesenchyme,neural,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0
 24-34,0,0,0,0,0,6.57,0,0,0,4.1,0,0,0
 36-46,0,0,0,0,0,9.67,0,0,0,8.06,0,0,0
 48-58,0,0,0.57,0,1.15,5.16,0,0,0,5.16,0,0,0
 60-70,0,0,0,0.98,3.93,9.82,0,0,0,1.96,0,0.98,0.98
 72-82,0.98,1.96,0.98,8.83,7.85,23.56,0,0,0,0,0,1.96,1.96
 84-94,0,2.12,0,11.68,5.31,12.74,0,0,1.06,0,0,1.06,0
 96-106,1.09,3.28,0,19.67,13.11,29.51,0,0,0,0,0,6.56,1.09
108-118,0,3.06,0,16.09,3.06,24.51,0.77,0,0,0.77,0.77,1.53,1.53
120,0,1.96,1.96,25.48,7.84,15.68,0,0,0,0,0,0,0
