stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,heart,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,52.71,645.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0
  5-6,42.91,508.76,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,6.13,0,0,0,0,0
  7-9,10.51,10.51,2.63,0,0,5.26,0,0,5.26,0,0,0,0,110.41,7.89,0,0,34.17,0,0,0,0,0,0
 10-12,0,12.59,3.15,0,0,15.73,0,0,3.15,0,0,0,0,97.56,0,0,0,34.62,0,0,9.44,0,0,0
 14-21,0,0,0,3,0,1,0,1,0,0,0,1,1,22,0,0,0,1,1,2,0,1,2,0
 24-34,0,0,0,1.64,0.82,1.64,0,0,0,0.82,0,1.64,2.46,16.42,0,1.64,0,0,1.64,0,0,0,8.21,0
 36-46,0,0,0,0,0,2.42,0,0.81,0,0,0,1.61,0,10.47,0.81,0,0.81,0,0.81,0,0,0,4.83,0
 48-58,0,0,0,0,0,4.59,0,1.15,0,0,0,2.3,0.57,4.02,0,0,0.57,0,0,0,0,0,1.72,0.57
 60-70,0,0,0,0.98,0,0.98,0,0.98,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,2.12,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,2.19,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,2.3,0,0.77,0,0,0,0,0.77,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
